"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/0ms/2vms-r1.dest.dstat.csv",,,,"Date:","13 Jun 2014 06:33:51 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.935,1.362,97.675,0.027,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,3449839616.0,422805504.0,9772433408.0,11678220288.0,264.638,3382.050
1.130,1.067,97.175,0.502,0.0,0.126,864.0,92.0,9182.0,7740.0,26325371.0,138009.0,3503116288.0,422805504.0,9766465536.0,11630911488.0,0.0,126976.0
1.652,1.398,96.696,0.0,0.0,0.254,564.0,0.0,51602305.0,230142.0,167492453.0,706980.0,3635937280.0,422805504.0,9766490112.0,11498065920.0,0.0,0.0
1.844,1.081,96.758,0.0,0.0,0.318,798.0,0.0,120608431.0,505278.0,236484734.0,1011278.0,3756998656.0,422805504.0,9766547456.0,11376947200.0,0.0,45056.0
0.765,1.148,97.832,0.0,0.0,0.255,740.0,212.0,121372916.0,542076.0,238821234.0,1069894.0,3880222720.0,422805504.0,9766547456.0,11253723136.0,0.0,0.0
0.762,1.143,97.841,0.0,0.0,0.254,384.0,0.0,122616998.0,557134.0,237485818.0,1080206.0,4010024960.0,422805504.0,9766547456.0,11123920896.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,384.0,0.0,99879663.0,465148.0,103578658.0,501652.0,4010680320.0,422805504.0,9766547456.0,11123265536.0,0.0,0.0
0.063,0.125,99.750,0.063,0.0,0.0,606.0,0.0,1330.0,18058.0,2672.0,20998.0,4011405312.0,422805504.0,9766547456.0,11122540544.0,0.0,20480.0
0.250,0.250,99.374,0.125,0.0,0.0,756.0,106.0,792.0,214.0,6202.0,7857.0,4013420544.0,422805504.0,9766551552.0,11120521216.0,0.0,40960.0
