"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/20ms/1vms-r4.src.dstat.csv",,,,"Date:","13 Jun 2014 03:48:38 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.936,1.363,97.672,0.027,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,4304871424.0,422797312.0,10290987008.0,10304643072.0,264.978,3383.985
0.500,6.871,92.130,0.500,0.0,0.0,256.0,68.0,18044.0,95203.0,28924.0,202463.0,4309020672.0,422797312.0,10291007488.0,10300473344.0,0.0,131072.0
1.446,8.234,89.189,1.131,0.0,0.0,1832.0,106.0,41909.0,2850663.0,100915.0,10418561.0,4313210880.0,422797312.0,10291027968.0,10296262656.0,0.0,303104.0
1.319,7.161,91.143,0.314,0.0,0.063,478.0,106.0,279352.0,65155823.0,519075.0,140626077.0,4311658496.0,422797312.0,10291032064.0,10297810944.0,0.0,77824.0
0.377,6.478,93.082,0.0,0.0,0.063,746.0,0.0,337753.0,89929818.0,618774.0,183606714.0,4314243072.0,422797312.0,10291056640.0,10295201792.0,0.0,0.0
0.189,4.654,95.157,0.0,0.0,0.0,64.0,0.0,426040.0,107081870.0,746078.0,210858006.0,4312399872.0,422797312.0,10291068928.0,10297032704.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,320.0,0.0,122290.0,28835486.0,130484.0,28947756.0,4309622784.0,422797312.0,10291068928.0,10299809792.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,532.0,280.0,146.0,278.0,1972.0,18964.0,4309164032.0,422797312.0,10291068928.0,10300268544.0,0.0,0.0
1.190,1.378,96.180,1.190,0.0,0.063,400.0,0.0,15727.0,67583.0,-410783.0,-53932632.0,3992711168.0,422797312.0,10291077120.0,10616713216.0,0.0,204800.0
1.632,1.883,95.480,0.942,0.0,0.063,180.0,0.0,34992.0,157928.0,65849.0,297023.0,3991908352.0,422797312.0,10291097600.0,10617495552.0,0.0,262144.0
0.0,0.062,99.938,0.0,0.0,0.0,500.0,0.0,7412.0,42903.0,8424.0,44975.0,3991748608.0,422797312.0,10291097600.0,10617655296.0,0.0,0.0
0.063,0.0,99.937,0.0,0.0,0.0,544.0,106.0,248.0,278.0,1160.0,2176.0,3991666688.0,422797312.0,10291105792.0,10617729024.0,0.0,0.0
0.0,0.125,99.875,0.0,0.0,0.0,618.0,106.0,816.0,214.0,1928.0,950.0,3990777856.0,422797312.0,10291105792.0,10618617856.0,0.0,0.0
0.063,0.0,99.937,0.0,0.0,0.0,206.0,92.0,906.0,590.0,2026.0,1980.0,3990577152.0,422797312.0,10291109888.0,10618814464.0,0.0,0.0
0.063,0.125,99.750,0.063,0.0,0.0,448.0,0.0,1412.0,214.0,4816.0,8367.0,3991232512.0,422797312.0,10291171328.0,10618097664.0,0.0,40960.0
1.632,2.197,95.166,1.004,0.0,0.0,548.0,106.0,29570.0,118400.0,61243.0,257739.0,3994021888.0,422797312.0,10291204096.0,10615275520.0,0.0,266240.0
0.313,0.500,98.937,0.250,0.0,0.0,676.0,0.0,14703.0,68511.0,23531.0,174568.0,3992489984.0,422797312.0,10291220480.0,10616791040.0,0.0,77824.0
0.125,0.063,99.812,0.0,0.0,0.0,478.0,106.0,3348.0,63728.0,5312.0,103720.0,3992199168.0,422797312.0,10291220480.0,10617081856.0,0.0,0.0
0.0,0.062,99.938,0.0,0.0,0.0,384.0,0.0,1474.0,36676.0,2192.0,37306.0,3992276992.0,422797312.0,10291220480.0,10617004032.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,192.0,0.0,694.0,278.0,1488.0,3974.0,3991830528.0,422797312.0,10291220480.0,10617450496.0,0.0,0.0
0.062,0.125,99.813,0.0,0.0,0.0,810.0,106.0,462.0,214.0,1606.0,950.0,3991781376.0,422797312.0,10291220480.0,10617499648.0,0.0,0.0
0.0,0.0,99.875,0.125,0.0,0.0,128.0,0.0,902.0,278.0,1706.0,852.0,3991367680.0,422797312.0,10291220480.0,10617913344.0,0.0,20480.0
0.0,0.125,99.875,0.0,0.0,0.0,554.0,106.0,560.0,214.0,1608.0,950.0,3990790144.0,422797312.0,10291220480.0,10618490880.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,478.0,106.0,232.0,278.0,922.0,958.0,3990208512.0,422797312.0,10291220480.0,10619072512.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,436.0,0.0,3494.0,1750.0,6738.0,5294.0,3990335488.0,422797312.0,10291220480.0,10618945536.0,0.0,0.0
0.063,0.0,99.937,0.0,0.0,0.0,128.0,68.0,564.0,1292.0,1102.0,3324.0,3989852160.0,422797312.0,10291220480.0,10619428864.0,0.0,0.0
0.0,0.062,99.938,0.0,0.0,0.0,624.0,0.0,364.0,214.0,1322.0,844.0,3989151744.0,422797312.0,10291220480.0,10620129280.0,0.0,0.0
0.0,0.125,99.750,0.125,0.0,0.0,468.0,212.0,134.0,278.0,1266.0,18392.0,3989069824.0,422797312.0,10291224576.0,10620207104.0,0.0,143360.0
0.0,0.0,100.0,0.0,0.0,0.0,320.0,0.0,1084.0,17994.0,1738.0,18624.0,3988963328.0,422797312.0,10291224576.0,10620313600.0,0.0,0.0
0.0,0.062,99.938,0.0,0.0,0.0,128.0,0.0,288.0,342.0,1356.0,1802.0,3988262912.0,422797312.0,10291224576.0,10621014016.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,564.0,0.0,1442.0,214.0,2432.0,1684.0,3988119552.0,422797312.0,10291224576.0,10621157376.0,0.0,0.0
0.0,0.062,99.938,0.0,0.0,0.0,542.0,106.0,506.0,278.0,1556.0,2820.0,3987738624.0,422797312.0,10291224576.0,10621538304.0,0.0,0.0
0.062,0.125,99.812,0.0,0.0,0.0,704.0,106.0,3658.0,63733.0,7042.0,130432.0,3987484672.0,422797312.0,10291224576.0,10621792256.0,0.0,32768.0
0.0,0.0,100.0,0.0,0.0,0.0,270.0,92.0,2002.0,544.0,3966.0,1696.0,3986083840.0,422797312.0,10291220480.0,10623197184.0,0.0,45056.0
