"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/80ms/6vms-r1.router.dstat.csv",,,,"Date:","13 Jun 2014 04:44:47 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.879,0.175,98.861,0.084,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,9985974272.0,168407040.0,614637568.0,14415798272.0,27128.859,118387.451
0.375,0.250,99.375,0.0,0.0,0.0,680.0,150.0,965525.0,964552.0,966205.0,965014.0,9985761280.0,168407040.0,614641664.0,14416007168.0,0.0,0.0
0.376,0.125,99.498,0.0,0.0,0.0,804.0,106.0,3789243.0,3553670.0,3790047.0,3553776.0,9985236992.0,168407040.0,614641664.0,14416531456.0,0.0,0.0
0.188,0.188,99.623,0.0,0.0,0.0,788.0,106.0,10096034.0,9554810.0,10096952.0,9555228.0,9985548288.0,168407040.0,614641664.0,14416220160.0,0.0,0.0
0.440,0.126,99.434,0.0,0.0,0.0,512.0,0.0,27596993.0,27222640.0,27597505.0,27222640.0,9987706880.0,168407040.0,614641664.0,14414061568.0,0.0,0.0
0.254,0.127,99.618,0.0,0.0,0.0,736.0,230.0,67851528.0,65098002.0,67852264.0,65098544.0,9991839744.0,168407040.0,614641664.0,14409928704.0,0.0,12288.0
0.448,0.192,98.975,0.320,0.0,0.064,448.0,0.0,108787658.0,108186098.0,108788106.0,108186098.0,9993498624.0,168407040.0,614641664.0,14408269824.0,0.0,53248.0
0.321,0.128,99.487,0.0,0.0,0.064,868.0,212.0,109434981.0,109192444.0,109435849.0,109192968.0,9992749056.0,168407040.0,614641664.0,14409019392.0,0.0,0.0
0.321,0.064,99.615,0.0,0.0,0.0,616.0,0.0,113619760.0,114385973.0,113620506.0,114385973.0,9992876032.0,168407040.0,614641664.0,14408892416.0,0.0,0.0
0.321,0.128,99.551,0.0,0.0,0.0,464.0,0.0,113852958.0,113317860.0,113853422.0,113318304.0,9993510912.0,168407040.0,614641664.0,14408257536.0,0.0,0.0
0.384,0.128,99.488,0.0,0.0,0.0,744.0,198.0,106685771.0,106861733.0,106686515.0,106861931.0,9993113600.0,168407040.0,614641664.0,14408654848.0,0.0,0.0
0.320,0.128,99.295,0.192,0.0,0.064,368.0,0.0,107975186.0,108331156.0,107975554.0,108331468.0,9993744384.0,168411136.0,614641664.0,14408019968.0,0.0,61440.0
0.385,0.0,99.615,0.0,0.0,0.0,426.0,106.0,113363992.0,112619404.0,113364495.0,112619510.0,9993609216.0,168411136.0,614641664.0,14408155136.0,0.0,0.0
0.320,0.192,99.488,0.0,0.0,0.0,320.0,99.0,106637856.0,108599975.0,106638306.0,108600386.0,9993379840.0,168411136.0,614641664.0,14408384512.0,0.0,4096.0
0.319,0.127,99.554,0.0,0.0,0.0,426.0,106.0,79977116.0,80697562.0,79977862.0,80697884.0,9990701056.0,168411136.0,614645760.0,14411059200.0,0.0,0.0
0.254,0.063,99.683,0.0,0.0,0.0,424.0,0.0,57928816.0,58128832.0,57929240.0,58129144.0,9991208960.0,168411136.0,614645760.0,14410551296.0,0.0,0.0
0.317,0.127,99.493,0.0,0.0,0.063,320.0,0.0,58944939.0,57831580.0,58945259.0,57831580.0,9990955008.0,168411136.0,614645760.0,14410805248.0,0.0,0.0
0.316,0.063,99.368,0.253,0.0,0.0,426.0,106.0,47864892.0,49564446.0,47865318.0,49564864.0,9988542464.0,168411136.0,614645760.0,14413217792.0,0.0,53248.0
0.253,0.063,99.684,0.0,0.0,0.0,490.0,106.0,30465180.0,30830428.0,30465800.0,30830534.0,9988714496.0,168411136.0,614645760.0,14413045760.0,0.0,0.0
0.503,0.314,99.183,0.0,0.0,0.0,320.0,0.0,32135029.0,31369170.0,32135419.0,31369566.0,9988452352.0,168411136.0,614645760.0,14413307904.0,0.0,0.0
0.503,0.251,99.246,0.0,0.0,0.0,448.0,0.0,33726870.0,34162989.0,33727318.0,34162989.0,9988960256.0,168411136.0,614645760.0,14412800000.0,0.0,4096.0
0.316,0.126,99.558,0.0,0.0,0.0,256.0,0.0,37319368.0,36885931.0,37319624.0,36886243.0,9988198400.0,168411136.0,614645760.0,14413561856.0,0.0,0.0
0.316,0.063,99.558,0.0,0.0,0.063,898.0,106.0,41193409.0,41151782.0,41194307.0,41151888.0,9989214208.0,168411136.0,614645760.0,14412546048.0,0.0,0.0
0.566,0.378,98.930,0.126,0.0,0.0,298.0,106.0,36014437.0,36625512.0,36014865.0,36625930.0,9988968448.0,168411136.0,614645760.0,14412791808.0,0.0,32768.0
0.378,0.189,99.433,0.0,0.0,0.0,384.0,0.0,33265486.0,32420415.0,33265870.0,32420415.0,9988579328.0,168411136.0,614645760.0,14413180928.0,0.0,0.0
0.253,0.126,99.431,0.190,0.0,0.0,384.0,0.0,37635089.0,38775362.0,37635473.0,38775674.0,9990098944.0,168411136.0,614649856.0,14411657216.0,0.0,151552.0
0.314,0.126,99.561,0.0,0.0,0.0,384.0,0.0,21965167.0,21740074.0,21965551.0,21740074.0,9988448256.0,168411136.0,614649856.0,14413307904.0,0.0,0.0
0.376,0.188,99.435,0.0,0.0,0.0,532.0,280.0,23725088.0,23609519.0,23725697.0,23610243.0,9988321280.0,168411136.0,614649856.0,14413434880.0,0.0,0.0
0.314,0.063,99.623,0.0,0.0,0.0,320.0,99.0,27040881.0,27880138.0,27041331.0,27880237.0,9988657152.0,168411136.0,614649856.0,14413099008.0,0.0,0.0
0.377,0.063,99.560,0.0,0.0,0.0,488.0,0.0,24638881.0,24940256.0,24639369.0,24940568.0,9988276224.0,168411136.0,614649856.0,14413479936.0,0.0,0.0
0.375,0.188,99.438,0.0,0.0,0.0,398.0,92.0,1188.0,909.0,1586.0,2023.0,9987768320.0,168411136.0,614649856.0,14413987840.0,0.0,49152.0
0.313,0.063,99.499,0.125,0.0,0.0,416.0,256.0,1612.0,568.0,2028.0,1136.0,9987764224.0,168415232.0,614649856.0,14413987840.0,0.0,28672.0
0.313,0.313,99.375,0.0,0.0,0.0,682.0,174.0,2531.0,1109.0,3213.0,1283.0,9987309568.0,168415232.0,614649856.0,14414442496.0,0.0,0.0
