"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem1024/0.4ms/1vms-r1.src.dstat.csv",,,,"Date:","17 Jun 2014 20:13:24 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.095,0.056,99.824,0.024,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,2722775040.0,126763008.0,12020424704.0,10453458944.0,300.605,2681.546
1.378,1.879,95.930,0.751,0.0,0.063,490.0,106.0,27654.0,40512.0,98432.0,11695195.0,2735296512.0,126775296.0,12020469760.0,10440880128.0,0.0,200704.0
0.761,0.761,98.477,0.0,0.0,0.0,320.0,0.0,233059.0,46043043.0,604158.0,156084068.0,2732384256.0,126775296.0,12020469760.0,10443792384.0,0.0,0.0
0.570,1.014,98.289,0.063,0.0,0.063,256.0,0.0,512785.0,115387041.0,929540.0,231655039.0,2732544000.0,126779392.0,12020461568.0,10443636736.0,0.0,45056.0
0.444,1.141,98.162,0.127,0.0,0.127,490.0,106.0,556636.0,121511553.0,967647.0,238487100.0,2734125056.0,126779392.0,12020473856.0,10442043392.0,0.0,40960.0
0.571,0.952,98.414,0.063,0.0,0.0,490.0,106.0,548875.0,122581560.0,959996.0,239531874.0,2734280704.0,126787584.0,12020473856.0,10441879552.0,0.0,40960.0
0.507,1.015,98.224,0.190,0.0,0.063,516.0,0.0,552037.0,122324980.0,962630.0,239430992.0,2734067712.0,126787584.0,12020502528.0,10442063872.0,0.0,77824.0
0.506,1.266,97.975,0.190,0.0,0.063,372.0,0.0,554579.0,123162844.0,960696.0,240167340.0,2734977024.0,126787584.0,12020502528.0,10441154560.0,0.0,40960.0
0.381,1.015,98.414,0.127,0.0,0.063,256.0,0.0,546753.0,122416060.0,956051.0,239378321.0,2737115136.0,126795776.0,12020506624.0,10439004160.0,0.0,40960.0
0.316,0.886,98.798,0.0,0.0,0.0,794.0,212.0,552385.0,122519412.0,957920.0,239581019.0,2735595520.0,126795776.0,12020510720.0,10440519680.0,0.0,0.0
0.444,1.079,98.287,0.127,0.0,0.063,718.0,0.0,549883.0,122511828.0,958386.0,239425544.0,2734530560.0,126803968.0,12020518912.0,10441568256.0,0.0,45056.0
0.507,1.077,98.162,0.127,0.0,0.127,192.0,0.0,547646.0,122422217.0,963403.0,239357328.0,2735136768.0,126812160.0,12020514816.0,10440957952.0,0.0,40960.0
