"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem1024/0.4ms/3vms-r1.dest.dstat.csv",,,,"Date:","17 Jun 2014 20:05:52 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.891,1.309,97.772,0.026,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,4382326784.0,422952960.0,9758318592.0,10759700480.0,251.805,3306.283
1.129,1.004,97.365,0.439,0.0,0.063,256.0,0.0,9464.0,7676.0,23699386.0,132982.0,4427718656.0,422952960.0,9757360128.0,10715267072.0,0.0,102400.0
1.718,1.908,95.611,0.382,0.0,0.382,384.0,0.0,69618467.0,349475.0,186769452.0,859804.0,4575621120.0,422952960.0,9756577792.0,10568146944.0,0.0,86016.0
1.273,1.273,97.136,0.0,0.0,0.318,234.0,106.0,122600144.0,512010.0,239788338.0,1003522.0,4703121408.0,422952960.0,9756655616.0,10440568832.0,0.0,0.0
1.272,1.336,97.074,0.0,0.0,0.318,1738.0,106.0,122387312.0,527208.0,239818265.0,1026348.0,4822634496.0,422952960.0,9756655616.0,10321055744.0,0.0,0.0
0.764,1.337,97.518,0.0,0.0,0.382,634.0,0.0,122584199.0,534048.0,240036691.0,1051734.0,4939558912.0,422952960.0,9756676096.0,10204110848.0,0.0,0.0
0.763,1.399,97.457,0.0,0.0,0.381,554.0,106.0,122627956.0,547732.0,240094852.0,1051968.0,5056770048.0,422952960.0,9756696576.0,10086879232.0,0.0,0.0
0.827,1.272,97.519,0.0,0.0,0.382,518.0,0.0,122629834.0,532888.0,240088728.0,1041198.0,5174337536.0,422952960.0,9756696576.0,9969311744.0,0.0,0.0
0.699,1.334,97.459,0.127,0.0,0.381,448.0,0.0,122634270.0,527456.0,240027848.0,1026440.0,5291614208.0,422952960.0,9756696576.0,9852035072.0,0.0,20480.0
0.761,1.459,97.398,0.0,0.0,0.381,298.0,106.0,122532544.0,530518.0,239965070.0,1088713.0,5406445568.0,422952960.0,9756696576.0,9737203712.0,0.0,0.0
0.699,1.334,97.586,0.0,0.0,0.381,426.0,106.0,122622920.0,589997.0,240081100.0,1085523.0,5521801216.0,422952960.0,9756696576.0,9621848064.0,0.0,0.0
0.701,1.211,97.769,0.0,0.0,0.319,1518.0,0.0,122621332.0,521814.0,240029758.0,1026648.0,5641060352.0,422952960.0,9756696576.0,9502588928.0,0.0,0.0
0.825,1.524,97.333,0.0,0.0,0.317,436.0,0.0,123099816.0,536564.0,240589306.0,1034794.0,5756809216.0,422952960.0,9756696576.0,9386840064.0,0.0,0.0
0.762,1.398,97.459,0.0,0.0,0.381,192.0,0.0,122639290.0,538626.0,240071550.0,1048892.0,5874270208.0,422952960.0,9756696576.0,9269379072.0,0.0,0.0
0.636,1.462,97.394,0.064,0.0,0.445,532.0,212.0,122574044.0,529372.0,240024458.0,1030678.0,5989408768.0,422952960.0,9756700672.0,9154236416.0,0.0,12288.0
0.763,1.399,97.521,0.0,0.0,0.318,144.0,0.0,122636140.0,534326.0,240105062.0,1035280.0,6106828800.0,422952960.0,9756700672.0,9036816384.0,0.0,49152.0
0.763,1.209,97.583,0.0,0.0,0.445,512.0,0.0,122649034.0,526192.0,240146989.0,1023608.0,6224404480.0,422952960.0,9756700672.0,8919240704.0,0.0,0.0
0.828,1.401,97.516,0.0,0.0,0.255,526.0,92.0,122647279.0,533974.0,240127721.0,1053730.0,6341570560.0,422952960.0,9756712960.0,8802062336.0,0.0,0.0
0.889,1.398,97.459,0.0,0.0,0.254,670.0,106.0,122627760.0,548732.0,239813224.0,1156366.0,6457303040.0,422952960.0,9756712960.0,8686329856.0,0.0,0.0
0.891,1.337,97.518,0.0,0.0,0.255,740.0,174.0,122326834.0,644320.0,239796936.0,1154464.0,6575095808.0,422952960.0,9756741632.0,8568508416.0,0.0,0.0
0.891,1.336,97.392,0.127,0.0,0.254,384.0,0.0,122639712.0,536410.0,240116104.0,1046676.0,6692352000.0,422952960.0,9756741632.0,8451252224.0,0.0,16384.0
0.765,1.338,97.578,0.0,0.0,0.319,538.0,0.0,122631952.0,544648.0,240088590.0,1074774.0,6809792512.0,422952960.0,9756741632.0,8333811712.0,0.0,0.0
0.827,1.527,97.392,0.0,0.0,0.254,756.0,106.0,122614330.0,562298.0,240080708.0,1078830.0,6922919936.0,422952960.0,9756741632.0,8220684288.0,0.0,0.0
0.826,1.971,96.885,0.0,0.0,0.318,368.0,0.0,122613860.0,546772.0,239861512.0,1161630.0,7040311296.0,422952960.0,9756741632.0,8103292928.0,0.0,0.0
0.762,2.732,96.188,0.0,0.0,0.318,490.0,106.0,122930766.0,646144.0,240375540.0,1229978.0,7157854208.0,422952960.0,9756741632.0,7985750016.0,0.0,0.0
0.763,3.817,95.165,0.0,0.0,0.254,308.0,0.0,122603772.0,615338.0,240073420.0,1122830.0,7273447424.0,422952960.0,9756745728.0,7870152704.0,0.0,0.0
0.699,1.589,97.266,0.127,0.0,0.318,500.0,0.0,122641328.0,534654.0,240091172.0,1038356.0,7392899072.0,422952960.0,9756745728.0,7750701056.0,0.0,12288.0
0.765,1.467,97.577,0.0,0.0,0.191,426.0,106.0,122609086.0,536624.0,240051464.0,1052624.0,7512543232.0,422952960.0,9756745728.0,7631056896.0,0.0,0.0
0.636,1.718,97.455,0.0,0.0,0.191,780.0,0.0,122613002.0,541326.0,240081582.0,1046586.0,7637889024.0,422952960.0,9756745728.0,7505711104.0,0.0,0.0
0.762,1.460,97.460,0.0,0.0,0.317,298.0,106.0,122599648.0,535986.0,239868402.0,1026498.0,7747317760.0,422952960.0,9756663808.0,7396364288.0,0.0,0.0
0.698,1.586,97.462,0.0,0.0,0.254,426.0,106.0,122494534.0,507218.0,239895734.0,981564.0,7871430656.0,422952960.0,9756663808.0,7272251392.0,0.0,8192.0
0.888,1.459,97.462,0.0,0.0,0.190,128.0,0.0,122555962.0,502948.0,233724852.0,960864.0,7994310656.0,422952960.0,9756663808.0,7149371392.0,0.0,0.0
0.063,0.313,99.437,0.188,0.0,0.0,500.0,68.0,76120709.0,320340.0,80682540.0,345018.0,7999737856.0,422952960.0,9756499968.0,7144108032.0,0.0,16384.0
