6.50MB 13.0MB
14.7MB 42.4MB
22.7MB 87.9MB
14.2MB 116MB
17.4MB 151MB
14.2MB 180MB
15.2MB 210MB
15.7MB 241MB
9.80MB 261MB
10.0MB 281MB
20.1MB 321MB
13.8MB 349MB
11.9MB 373MB
11.3MB 395MB
11.2MB 418MB
13.7MB 445MB
10.5MB 466MB
10.4MB 487MB
13.5MB 514MB
12.7MB 540MB
12.1MB 564MB
15.6MB 595MB
14.6MB 624MB
17.2MB 659MB
15.5MB 690MB
11.5MB 713MB
14.4MB 741MB
12.4MB 766MB
7.19MB 781MB
11.3MB 803MB
14.2MB 832MB
14.1MB 860MB
12.9MB 886MB
11.0MB 908MB
13.2MB 934MB
17.2MB 969MB
17.4MB 0.98GB
17.0MB 1.01GB
19.3MB 1.05GB
20.0MB 1.09GB
5.25MB 1.10GB
