"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem1024/100ms/6vms-r1.src.dstat.csv",,,,"Date:","17 Jun 2014 23:51:07 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.890,1.308,97.775,0.026,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,10426945536.0,422973440.0,9761656832.0,4711723008.0,251.387,3319.702
0.187,0.125,99.688,0.0,0.0,0.0,602.0,174.0,9022.0,7740.0,13626.0,13506.0,10428252160.0,422973440.0,9761693696.0,4710379520.0,0.0,0.0
1.252,1.503,96.807,0.438,0.0,0.0,398.0,92.0,15445.0,59596.0,28559.0,213359.0,10436345856.0,422973440.0,9761718272.0,4702261248.0,0.0,131072.0
0.563,0.250,99.061,0.063,0.0,0.063,234.0,106.0,11783.0,866590.0,31217.0,2255488.0,10441224192.0,422973440.0,9761738752.0,4697362432.0,0.0,40960.0
1.447,2.013,95.535,1.006,0.0,0.0,464.0,0.0,44228.0,2302195.0,82260.0,5486995.0,10443644928.0,422973440.0,9761767424.0,4694913024.0,0.0,229376.0
0.376,0.438,98.936,0.188,0.0,0.063,478.0,106.0,30716.0,5124708.0,56117.0,11552422.0,10445250560.0,422973440.0,9761787904.0,4693286912.0,0.0,73728.0
1.320,1.886,95.852,0.880,0.0,0.063,500.0,0.0,66618.0,10818067.0,133511.0,25156669.0,10449436672.0,422973440.0,9761902592.0,4688986112.0,0.0,229376.0
0.439,0.627,98.745,0.125,0.0,0.063,478.0,0.0,100252.0,23972813.0,208431.0,56490639.0,10457546752.0,422973440.0,9761964032.0,4680814592.0,0.0,40960.0
1.391,2.086,95.702,0.695,0.0,0.126,660.0,212.0,247097.0,54093911.0,479676.0,121333184.0,10464100352.0,422973440.0,9761992704.0,4674232320.0,0.0,229376.0
0.760,0.950,98.100,0.127,0.0,0.063,320.0,0.0,366587.0,92194318.0,684752.0,193455198.0,10465333248.0,422973440.0,9761996800.0,4672995328.0,0.0,40960.0
2.290,2.290,94.338,0.827,0.0,0.254,384.0,0.0,517412.0,116589120.0,900257.0,226345824.0,10467348480.0,422973440.0,9762029568.0,4670947328.0,0.0,229376.0
1.583,0.823,97.593,0.0,0.0,0.0,192.0,0.0,449102.0,108133355.0,770160.0,209852259.0,10465980416.0,422973440.0,9762033664.0,4672311296.0,0.0,0.0
2.854,2.536,93.405,0.951,0.0,0.254,696.0,106.0,459095.0,109120430.0,810730.0,211136813.0,10466402304.0,422973440.0,9762050048.0,4671873024.0,0.0,262144.0
0.380,0.696,98.861,0.0,0.0,0.063,788.0,106.0,425315.0,102496495.0,737084.0,201253185.0,10463731712.0,422973440.0,9762058240.0,4674535424.0,0.0,0.0
1.460,2.159,95.365,0.825,0.0,0.190,320.0,0.0,458608.0,106801503.0,819776.0,210206403.0,10466770944.0,422973440.0,9762103296.0,4671451136.0,0.0,229376.0
0.569,1.265,97.786,0.253,0.0,0.127,192.0,0.0,465366.0,106260171.0,793396.0,206569600.0,10465296384.0,422973440.0,9762131968.0,4672897024.0,0.0,40960.0
1.015,1.650,96.764,0.444,0.0,0.127,426.0,106.0,440231.0,105554069.0,779940.0,207077721.0,10465939456.0,422973440.0,9762131968.0,4672253952.0,0.0,155648.0
