"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem1024/180ms/1vms-r2.dest.dstat.csv",,,,"Date:","18 Jun 2014 02:33:19 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.889,1.307,97.776,0.026,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,10430758912.0,422993920.0,9768161280.0,4701384704.0,251.087,3333.381
0.062,0.062,99.875,0.0,0.0,0.0,618.0,174.0,10644.0,130724.0,11494.0,132980.0,10430234624.0,422993920.0,9768251392.0,4701818880.0,0.0,0.0
0.501,0.376,98.810,0.313,0.0,0.0,716.0,0.0,330.0,214.0,176826.0,9545.0,10442321920.0,422993920.0,9767878656.0,4690104320.0,0.0,94208.0
0.062,0.062,99.875,0.0,0.0,0.0,628.0,0.0,199376.0,8511.0,302616.0,10287.0,10443845632.0,422993920.0,9767882752.0,4688576512.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,362.0,106.0,123906.0,1182.0,364880.0,4274.0,10443837440.0,422993920.0,9767878656.0,4688588800.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,576.0,0.0,285092.0,2028.0,611440.0,10344.0,10443423744.0,422993920.0,9767911424.0,4688969728.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,554.0,106.0,479746.0,2944.0,1201090.0,13028.0,10443005952.0,422993920.0,9767948288.0,4689350656.0,0.0,0.0
0.0,0.063,99.500,0.438,0.0,0.0,448.0,0.0,684142.0,3778.0,1666256.0,11510.0,10444746752.0,422993920.0,9767997440.0,4687560704.0,0.0,16384.0
0.063,0.125,98.687,1.063,0.0,0.063,426.0,106.0,1435002.0,6648.0,3335052.0,18354.0,10446168064.0,422993920.0,9767997440.0,4686139392.0,0.0,4096.0
0.0,4.003,95.997,0.0,0.0,0.0,564.0,0.0,1847868.0,10258.0,4267610.0,19336.0,10447761408.0,422993920.0,9767997440.0,4684546048.0,0.0,0.0
0.125,5.128,94.747,0.0,0.0,0.0,642.0,92.0,3415766.0,12114.0,7734118.0,137850.0,10452172800.0,422993920.0,9767997440.0,4680134656.0,0.0,0.0
0.063,2.689,97.248,0.0,0.0,0.0,794.0,106.0,4169348.0,129300.0,9598096.0,150562.0,10458271744.0,422993920.0,9767997440.0,4674035712.0,0.0,0.0
0.063,0.188,99.687,0.0,0.0,0.063,192.0,0.0,7719394.0,29614.0,17659454.0,67346.0,10466766848.0,422993920.0,9768009728.0,4665528320.0,0.0,40960.0
0.125,0.125,99.687,0.063,0.0,0.0,554.0,106.0,9495480.0,36462.0,20940012.0,84520.0,10483339264.0,422993920.0,9768022016.0,4648943616.0,0.0,12288.0
0.188,0.251,99.499,0.0,0.0,0.063,256.0,0.0,15441668.0,130031.0,32580709.0,268892.0,10500538368.0,422993920.0,9768022016.0,4631744512.0,0.0,0.0
0.501,0.251,99.185,0.0,0.0,0.063,704.0,0.0,15538046.0,67054.0,31635964.0,408582.0,10516217856.0,422993920.0,9768022016.0,4616065024.0,0.0,0.0
0.251,0.188,99.561,0.0,0.0,0.0,456.0,212.0,18130079.0,362190.0,36480536.0,439782.0,10537545728.0,422993920.0,9768038400.0,4594720768.0,0.0,0.0
0.063,0.251,99.624,0.0,0.0,0.063,644.0,0.0,19373311.0,81618.0,36060341.0,155904.0,10554109952.0,422993920.0,9768042496.0,4578152448.0,0.0,12288.0
0.126,0.126,99.749,0.0,0.0,0.0,256.0,0.0,15846385.0,70564.0,32541120.0,145280.0,10570907648.0,422993920.0,9768050688.0,4561346560.0,0.0,0.0
0.188,0.251,99.436,0.125,0.0,0.0,448.0,0.0,19028958.0,85404.0,35793192.0,158856.0,10587430912.0,422993920.0,9768050688.0,4544823296.0,0.0,32768.0
0.125,0.250,99.562,0.0,0.0,0.063,362.0,106.0,15924025.0,70144.0,31750070.0,236594.0,10602070016.0,422993920.0,9768050688.0,4530184192.0,0.0,0.0
0.125,0.251,99.561,0.0,0.0,0.063,746.0,174.0,18377444.0,181624.0,36208812.0,264228.0,10620829696.0,422993920.0,9768050688.0,4511424512.0,0.0,0.0
0.125,0.188,99.687,0.0,0.0,0.0,512.0,0.0,16780825.0,74204.0,32026338.0,147412.0,10635485184.0,422993920.0,9768075264.0,4496744448.0,0.0,0.0
0.188,0.251,99.499,0.0,0.0,0.063,692.0,0.0,17575787.0,78046.0,35985841.0,158296.0,10654183424.0,422993920.0,9768124416.0,4477997056.0,0.0,0.0
0.063,0.188,99.749,0.0,0.0,0.0,478.0,106.0,17582328.0,77004.0,32827311.0,145784.0,10668740608.0,422993920.0,9768148992.0,4463415296.0,0.0,0.0
0.125,0.251,99.436,0.125,0.0,0.063,640.0,0.0,17510629.0,77068.0,35759569.0,156832.0,10687471616.0,422993920.0,9768148992.0,4444684288.0,0.0,12288.0
0.125,0.250,99.562,0.0,0.0,0.063,362.0,106.0,17577064.0,77564.0,32915813.0,145834.0,10702155776.0,422993920.0,9768153088.0,4429996032.0,0.0,0.0
0.125,0.188,99.687,0.0,0.0,0.0,384.0,0.0,16519763.0,72728.0,33349402.0,147062.0,10718924800.0,422993920.0,9768153088.0,4413227008.0,0.0,0.0
0.125,0.188,99.624,0.0,0.0,0.063,374.0,0.0,18636742.0,82044.0,35529332.0,161468.0,10735202304.0,422993920.0,9768153088.0,4396949504.0,0.0,0.0
0.126,0.188,99.686,0.0,0.0,0.0,618.0,106.0,16062051.0,72108.0,33025492.0,213621.0,10751844352.0,422993920.0,9768153088.0,4380307456.0,0.0,0.0
0.063,0.188,99.687,0.0,0.0,0.063,792.0,92.0,19305698.0,149737.0,34555241.0,450061.0,10768429056.0,422993920.0,9768153088.0,4363722752.0,0.0,0.0
0.063,0.188,99.687,0.063,0.0,0.0,670.0,106.0,13644380.0,301864.0,28435051.0,367484.0,10783100928.0,422993920.0,9768153088.0,4349050880.0,0.0,12288.0
0.125,0.188,99.624,0.0,0.0,0.063,362.0,106.0,16258272.0,71614.0,30723585.0,136976.0,10797842432.0,422993920.0,9768218624.0,4334243840.0,0.0,8192.0
0.125,0.251,99.624,0.0,0.0,0.0,576.0,0.0,14747038.0,66486.0,31854793.0,142206.0,10814242816.0,422993920.0,9768222720.0,4317839360.0,0.0,0.0
0.125,0.188,99.624,0.0,0.0,0.063,448.0,68.0,18466673.0,80924.0,34103860.0,149504.0,10831044608.0,422993920.0,9768312832.0,4300947456.0,0.0,0.0
0.063,0.251,99.686,0.0,0.0,0.0,576.0,0.0,15992819.0,70972.0,32885667.0,210854.0,10847813632.0,422993920.0,9768312832.0,4284178432.0,0.0,0.0
0.125,0.188,99.624,0.0,0.0,0.063,468.0,212.0,19163392.0,150824.0,35860417.0,227480.0,10862391296.0,422993920.0,9768312832.0,4269600768.0,0.0,0.0
0.063,0.188,99.624,0.125,0.0,0.0,564.0,0.0,15855059.0,70768.0,31164910.0,138436.0,10879025152.0,422993920.0,9768312832.0,4252966912.0,0.0,32768.0
0.125,0.251,99.624,0.0,0.0,0.0,436.0,0.0,19233266.0,84144.0,37629576.0,165426.0,10895273984.0,422993920.0,9768333312.0,4236697600.0,0.0,0.0
0.063,0.251,99.687,0.0,0.0,0.0,320.0,0.0,15993701.0,71928.0,31187536.0,138954.0,10912055296.0,422993920.0,9768337408.0,4219912192.0,0.0,0.0
0.125,0.251,99.561,0.0,0.0,0.063,234.0,106.0,19012112.0,84494.0,37290166.0,165010.0,10929127424.0,422993920.0,9768337408.0,4202840064.0,0.0,0.0
0.125,0.125,99.749,0.0,0.0,0.0,666.0,106.0,15936415.0,71252.0,31114988.0,138648.0,10946031616.0,422993920.0,9768337408.0,4185935872.0,0.0,0.0
0.125,0.251,99.561,0.063,0.0,0.0,256.0,0.0,17966792.0,80014.0,36180998.0,168296.0,10962681856.0,422993920.0,9768337408.0,4169285632.0,0.0,12288.0
0.125,0.125,99.687,0.0,0.0,0.063,384.0,0.0,16916417.0,74758.0,32094170.0,141478.0,10977140736.0,422993920.0,9768337408.0,4154826752.0,0.0,0.0
0.063,0.188,99.749,0.0,0.0,0.0,590.0,106.0,16181106.0,71614.0,34397718.0,218103.0,10996015104.0,422993920.0,9768337408.0,4135952384.0,0.0,0.0
0.125,0.188,99.687,0.0,0.0,0.0,628.0,0.0,18703864.0,148168.0,33881653.0,214822.0,11010822144.0,422993920.0,9768337408.0,4121145344.0,0.0,0.0
0.125,0.251,99.624,0.0,0.0,0.0,362.0,106.0,15854849.0,69514.0,34067897.0,150054.0,11029577728.0,422993920.0,9768337408.0,4102389760.0,0.0,0.0
0.125,0.188,99.687,0.0,0.0,0.0,1412.0,0.0,19025654.0,84138.0,34204399.0,152292.0,11044270080.0,422993920.0,9768337408.0,4087697408.0,0.0,28672.0
0.125,0.188,99.561,0.063,0.0,0.063,234.0,106.0,15855075.0,70704.0,32616521.0,146368.0,11060912128.0,422993920.0,9768337408.0,4071055360.0,0.0,16384.0
0.063,0.188,99.749,0.0,0.0,0.0,320.0,0.0,19027640.0,86128.0,35658551.0,161880.0,11077443584.0,422993920.0,9768337408.0,4054523904.0,0.0,0.0
0.125,0.251,99.624,0.0,0.0,0.0,462.0,92.0,15855617.0,70774.0,31069618.0,176612.0,11092512768.0,422993920.0,9768337408.0,4039454720.0,0.0,0.0
0.125,0.125,99.687,0.0,0.0,0.063,798.0,106.0,19026612.0,124284.0,37204596.0,204178.0,11111514112.0,422993920.0,9768337408.0,4020453376.0,0.0,0.0
0.063,0.188,99.749,0.0,0.0,0.0,414.0,106.0,15854947.0,69934.0,31033098.0,138318.0,11126185984.0,422993920.0,9768337408.0,4005781504.0,0.0,0.0
0.063,0.251,99.687,0.0,0.0,0.0,512.0,0.0,19026296.0,83858.0,37304602.0,164372.0,11144916992.0,422993920.0,9768337408.0,3987050496.0,0.0,0.0
0.125,0.188,99.562,0.063,0.0,0.063,384.0,0.0,15924865.0,70494.0,31169382.0,140100.0,11159212032.0,422993920.0,9768341504.0,3972751360.0,0.0,12288.0
0.125,0.313,99.561,0.0,0.0,0.0,576.0,0.0,18216448.0,80358.0,36430676.0,211918.0,11176747008.0,422993920.0,9768349696.0,3955208192.0,0.0,0.0
0.063,0.188,99.687,0.0,0.0,0.063,580.0,212.0,16734433.0,127472.0,31963236.0,195766.0,11193384960.0,422993920.0,9768353792.0,3938566144.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,448.0,0.0,16277934.0,72028.0,34638374.0,152962.0,11209854976.0,422993920.0,9768353792.0,3922096128.0,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,526.0,0.0,18810019.0,83164.0,34107314.0,152486.0,11226775552.0,422993920.0,9768378368.0,3905150976.0,0.0,0.0
0.125,0.439,99.436,0.0,0.0,0.0,740.0,0.0,15976907.0,72190.0,34238547.0,217269.0,11243331584.0,422993920.0,9768378368.0,3888594944.0,0.0,0.0
0.125,0.250,99.436,0.125,0.0,0.063,512.0,106.0,19184960.0,149557.0,34463311.0,219409.0,11259768832.0,422993920.0,9768378368.0,3872157696.0,0.0,12288.0
0.125,0.188,99.687,0.0,0.0,0.0,426.0,174.0,15923681.0,70068.0,32434335.0,143832.0,11274690560.0,422993920.0,9768390656.0,3857223680.0,0.0,0.0
0.063,0.188,99.749,0.0,0.0,0.0,860.0,0.0,19095128.0,84004.0,36172075.0,158984.0,11291721728.0,422993920.0,9768390656.0,3840192512.0,0.0,0.0
0.125,0.188,99.624,0.0,0.0,0.063,256.0,0.0,15922869.0,70278.0,31232802.0,139586.0,11308498944.0,422993920.0,9768390656.0,3823415296.0,0.0,0.0
0.125,0.188,99.687,0.0,0.0,0.0,298.0,106.0,19164368.0,84844.0,37368468.0,165474.0,11324891136.0,422993920.0,9768394752.0,3807019008.0,0.0,0.0
0.125,0.251,99.624,0.0,0.0,0.0,786.0,0.0,15846915.0,70558.0,31028942.0,421710.0,11341963264.0,422993920.0,9768402944.0,3789938688.0,0.0,0.0
0.125,0.188,99.562,0.063,0.0,0.063,1020.0,174.0,19025595.0,380076.0,37300620.0,460510.0,11360780288.0,422993920.0,9768402944.0,3771121664.0,0.0,12288.0
0.063,0.188,99.749,0.0,0.0,0.0,256.0,0.0,15910929.0,70482.0,31177246.0,137352.0,11377557504.0,422993920.0,9768402944.0,3754344448.0,0.0,8192.0
