   1 10.244.34.5:47794                        =>     77.6KB     77.6KB     77.6KB      155KB
   2 10.244.34.5:45979                        =>     44.9KB     44.9KB     44.9KB     89.7KB
   3 10.244.34.5:45056                        =>     34.2KB     34.2KB     34.2KB     68.4KB
   4 10.244.34.5:34891                        =>     1.06KB     1.06KB     1.06KB     2.13KB
   1 10.244.34.5:47794                        =>      293KB      185KB      185KB      741KB
   2 10.244.34.5:45979                        =>      214KB      130KB      130KB      518KB
   3 10.244.34.5:45056                        =>      215KB      125KB      125KB      498KB
   4 10.244.34.5:34891                        =>        26B       558B       558B     2.18KB
   1 10.244.34.5:47794                        =>      701KB      357KB      357KB     2.09MB
   2 10.244.34.5:45979                        =>      519KB      259KB      259KB     1.52MB
   3 10.244.34.5:45056                        =>      502KB      250KB      250KB     1.47MB
   4 10.244.34.5:34891                        =>        26B       381B       381B     2.23KB
   1 10.244.34.5:47794                        =>     1.62MB      682KB      682KB     5.33MB
   2 10.244.34.5:45979                        =>     1.00MB      449KB      449KB     3.51MB
   3 10.244.34.5:45056                        =>     1.00MB      443KB      443KB     3.46MB
   4 10.244.34.5:34891                        =>        52B       298B       298B     2.33KB
   1 10.244.34.5:47794                        =>     4.17MB     1.37MB     1.37MB     13.7MB
   2 10.244.34.5:45979                        =>     2.58MB      888KB      888KB     8.67MB
   3 10.244.34.5:45056                        =>     2.33MB      832KB      832KB     8.12MB
   4 10.244.34.5:34891                        =>        26B       244B       244B     2.38KB
   1 10.244.34.5:47794                        =>     9.58MB     3.27MB     2.73MB     32.8MB
   2 10.244.34.5:45979                        =>     6.47MB     2.15MB     1.80MB     21.6MB
   3 10.244.34.5:45056                        =>     4.26MB     1.66MB     1.39MB     16.6MB
   1 10.244.34.5:47794                        =>     15.1MB     6.22MB     4.50MB     63.0MB
   2 10.244.34.5:45979                        =>     12.0MB     4.52MB     3.26MB     45.7MB
   3 10.244.34.5:45056                        =>     7.71MB     3.16MB     2.29MB     32.1MB
   1 10.244.34.5:47794                        =>     15.6MB     9.20MB     5.88MB     94.1MB
   2 10.244.34.5:45979                        =>     15.8MB     7.58MB     4.83MB     77.3MB
   3 10.244.34.5:45056                        =>     13.6MB     5.79MB     3.71MB     59.3MB
   1 10.244.34.5:47794                        =>     15.2MB     11.9MB     6.92MB      125MB
   2 10.244.34.5:45979                        =>     16.3MB     10.6MB     6.10MB      110MB
