   2 10.244.34.4:57027                        =>     48.4KB     48.4KB     48.4KB     96.8KB
   4 10.244.34.4:48041                        =>     26.4KB     26.4KB     26.4KB     52.8KB
   5 10.244.34.4:50518                        =>     15.7KB     15.7KB     15.7KB     31.4KB
   5 10.244.34.4:57435                        =>      0KB     0KB     0KB      0KB
   7 10.244.34.4:camp                         =>     5.52KB     5.52KB     5.52KB     11.0KB
   1 10.244.34.4:57027                        =>      278KB      163KB      163KB      653KB
   2 10.244.34.4:48041                        =>      194KB      110KB      110KB      442KB
   3 10.244.34.4:50518                        =>      176KB     95.9KB     95.9KB      383KB
   5 10.244.34.4:57435                        =>      155KB     77.4KB     77.4KB      310KB
   1 10.244.34.4:57027                        =>      676KB      334KB      334KB     1.96MB
   2 10.244.34.4:48041                        =>      500KB      240KB      240KB     1.41MB
   3 10.244.34.4:50518                        =>      521KB      238KB      238KB     1.39MB
   4 10.244.34.4:57435                        =>      388KB      181KB      181KB     1.06MB
   1 10.244.34.4:57027                        =>     1.55MB      649KB      649KB     5.07MB
   2 10.244.34.4:50518                        =>     1.18MB      481KB      481KB     3.76MB
   3 10.244.34.4:48041                        =>     1.09MB      459KB      459KB     3.59MB
   4 10.244.34.4:57435                        =>      901KB      361KB      361KB     2.82MB
   1 10.244.34.4:57027                        =>     3.98MB     1.30MB     1.30MB     13.0MB
   2 10.244.34.4:50518                        =>     3.02MB     0.98MB     0.98MB     9.79MB
   3 10.244.34.4:48041                        =>     2.95MB      972KB      972KB     9.49MB
   4 10.244.34.4:57435                        =>     2.21MB      741KB      741KB     7.24MB
   1 10.244.34.4:57027                        =>     9.67MB     3.23MB     2.70MB     32.4MB
   2 10.244.34.4:48041                        =>     7.28MB     2.40MB     2.00MB     24.0MB
   3 10.244.34.4:50518                        =>     5.94MB     2.16MB     1.81MB     21.7MB
   4 10.244.34.4:57435                        =>     4.63MB     1.65MB     1.38MB     16.5MB
   1 10.244.34.4:57027                        =>     15.0MB     6.18MB     4.46MB     62.4MB
   2 10.244.34.4:48041                        =>     13.8MB     5.11MB     3.68MB     51.6MB
   3 10.244.34.4:50518                        =>     10.8MB     4.28MB     3.08MB     43.2MB
   4 10.244.34.4:57435                        =>     8.18MB     3.26MB     2.35MB     32.9MB
   1 10.244.34.4:57027                        =>     15.6MB     9.17MB     5.86MB     93.7MB
   2 10.244.34.4:48041                        =>     16.0MB     8.22MB     5.23MB     83.6MB
   3 10.244.34.4:50518                        =>     15.2MB     7.22MB     4.60MB     73.6MB
   4 10.244.34.4:57435                        =>     13.0MB     5.78MB     3.68MB     58.9MB
   1 10.244.34.4:57027                        =>     15.5MB     12.0MB     6.93MB      125MB
   2 10.244.34.4:48041                        =>     16.1MB     11.2MB     6.43MB      116MB
   3 10.244.34.4:50518                        =>     15.9MB     10.2MB     5.85MB      105MB
   4 10.244.34.4:57435                        =>     15.9MB     8.80MB     5.04MB     90.8MB
   1 10.244.34.4:57027                        =>     15.8MB     14.3MB     7.82MB      156MB
   2 10.244.34.4:48041                        =>     15.9MB     13.8MB     7.38MB      148MB
   3 10.244.34.4:50518                        =>     15.3MB     12.6MB     6.80MB      136MB
   4 10.244.34.4:57435                        =>     16.0MB     11.6MB     6.14MB      123MB
   1 10.244.34.4:48041                        =>     15.9MB     15.5MB     8.16MB      180MB
   2 10.244.34.4:57027                        =>     15.2MB     15.5MB     8.49MB      187MB
   3 10.244.34.4:50518                        =>     15.9MB     14.6MB     7.63MB      168MB
   4 10.244.34.4:57435                        =>     16.1MB     13.8MB     7.04MB      155MB
   1 10.244.34.4:48041                        =>     15.9MB     16.0MB     8.81MB      211MB
   2 10.244.34.4:57027                        =>     16.0MB     15.7MB     9.12MB      219MB
   3 10.244.34.4:57435                        =>     16.1MB     15.4MB     7.79MB      187MB
   4 10.244.34.4:50518                        =>     13.6MB     15.2MB     8.12MB      195MB
   1 10.244.34.4:57435                        =>     16.0MB     16.0MB     8.43MB      219MB
   2 10.244.34.4:48041                        =>     15.8MB     15.9MB     9.35MB      243MB
   3 10.244.34.4:57027                        =>     15.9MB     15.7MB     9.64MB      251MB
   4 10.244.34.4:50518                        =>     13.0MB     14.7MB     8.50MB      221MB
   1 10.244.34.4:57435                        =>     15.8MB     16.0MB     8.96MB      251MB
   2 10.244.34.4:48041                        =>     15.2MB     15.8MB     9.76MB      273MB
   3 10.244.34.4:57027                        =>     15.7MB     15.7MB     10.1MB      282MB
   4 10.244.34.4:50518                        =>     14.8MB     14.5MB     8.95MB      251MB
   1 10.244.34.4:48041                        =>     15.9MB     15.8MB     10.2MB      305MB
   2 10.244.34.4:57435                        =>     11.3MB     15.0MB     9.11MB      273MB
   3 10.244.34.4:57027                        =>     11.6MB     14.9MB     10.2MB      305MB
   4 10.244.34.4:50518                        =>     15.9MB     14.6MB     9.41MB      282MB
   1 10.244.34.4:48041                        =>     15.4MB     15.6MB     10.5MB      336MB
   2 10.244.34.4:57027                        =>     14.1MB     14.6MB     10.4MB      333MB
   3 10.244.34.4:57435                        =>     14.0MB     14.6MB     9.42MB      301MB
   4 10.244.34.4:50518                        =>     15.5MB     14.5MB     9.79MB      313MB
   1 10.244.34.4:48041                        =>     15.8MB     15.6MB     10.8MB      367MB
   2 10.244.34.4:50518                        =>     15.5MB     14.9MB     10.1MB      344MB
   3 10.244.34.4:57027                        =>     15.3MB     14.5MB     10.7MB      364MB
   4 10.244.34.4:57435                        =>     15.2MB     14.5MB     9.76MB      332MB
   1 10.244.34.4:48041                        =>     15.8MB     15.6MB     11.1MB      399MB
   2 10.244.34.4:50518                        =>     15.8MB     15.5MB     10.4MB      376MB
   3 10.244.34.4:57027                        =>     15.9MB     14.5MB     11.0MB      396MB
   4 10.244.34.4:57435                        =>     15.7MB     14.4MB     10.1MB      363MB
   1 10.244.34.4:48041                        =>     15.9MB     15.8MB     11.3MB      431MB
   2 10.244.34.4:50518                        =>     16.1MB     15.7MB     10.7MB      408MB
   3 10.244.34.4:57027                        =>     16.0MB     14.6MB     11.3MB      428MB
   4 10.244.34.4:57435                        =>     15.9MB     14.4MB     10.4MB      395MB
   1 10.244.34.4:50518                        =>     16.0MB     15.8MB     11.0MB      440MB
   2 10.244.34.4:48041                        =>     15.9MB     15.7MB     11.6MB      463MB
   3 10.244.34.4:57027                        =>     16.0MB     15.5MB     11.5MB      460MB
   4 10.244.34.4:57435                        =>     15.7MB     15.3MB     10.7MB      426MB
   1 10.244.34.4:48041                        =>     15.9MB     15.9MB     12.4MB      494MB
   2 10.244.34.4:57027                        =>     15.9MB     15.8MB     12.3MB      492MB
   3 10.244.34.4:50518                        =>     15.7MB     15.8MB     11.8MB      471MB
   4 10.244.34.4:57435                        =>     15.4MB     15.6MB     11.4MB      457MB
   1 10.244.34.4:57027                        =>     16.1MB     16.0MB     13.1MB      524MB
   2 10.244.34.4:48041                        =>     16.0MB     15.9MB     13.1MB      526MB
   3 10.244.34.4:50518                        =>     15.7MB     15.8MB     12.6MB      503MB
   4 10.244.34.4:57435                        =>     15.4MB     15.6MB     12.2MB      488MB
   1 10.244.34.4:48041                        =>     15.9MB     15.9MB     13.9MB      558MB
   2 10.244.34.4:50518                        =>     16.0MB     15.9MB     13.3MB      535MB
   3 10.244.34.4:57027                        =>     15.3MB     15.9MB     13.8MB      554MB
   4 10.244.34.4:57435                        =>     15.7MB     15.6MB     13.0MB      519MB
   1 10.244.34.4:48041                        =>     15.8MB     15.9MB     14.7MB      590MB
   2 10.244.34.4:57027                        =>     16.0MB     15.9MB     14.5MB      587MB
   3 10.244.34.4:50518                        =>     15.2MB     15.7MB     14.0MB      565MB
   4 10.244.34.4:57435                        =>     15.9MB     15.6MB     13.7MB      551MB
   1 10.244.34.4:57027                        =>     15.7MB     15.8MB     15.1MB      618MB
   2 10.244.34.4:48041                        =>     15.3MB     15.8MB     15.3MB      620MB
   3 10.244.34.4:50518                        =>     15.9MB     15.7MB     14.7MB      597MB
   4 10.244.34.4:57435                        =>     15.9MB     15.7MB     14.4MB      583MB
   1 10.244.34.4:48041                        =>     16.0MB     15.8MB     15.7MB      652MB
   2 10.244.34.4:57435                        =>     16.0MB     15.8MB     15.0MB      615MB
   3 10.244.34.4:57027                        =>     15.7MB     15.8MB     15.4MB      649MB
   4 10.244.34.4:50518                        =>     15.9MB     15.7MB     15.2MB      629MB
   1 10.244.34.4:57435                        =>     16.0MB     15.9MB     15.4MB      647MB
   2 10.244.34.4:48041                        =>     16.0MB     15.8MB     15.8MB      684MB
   3 10.244.34.4:57027                        =>     16.2MB     15.8MB     15.5MB      682MB
   4 10.244.34.4:50518                        =>     15.8MB     15.8MB     15.4MB      660MB
   1 10.244.34.4:57435                        =>     15.9MB     16.0MB     15.5MB      679MB
   2 10.244.34.4:57027                        =>     16.0MB     15.9MB     15.5MB      714MB
   3 10.244.34.4:50518                        =>     15.8MB     15.7MB     15.5MB      692MB
   4 10.244.34.4:48041                        =>     15.2MB     15.7MB     15.8MB      715MB
   1 10.244.34.4:57435                        =>     15.9MB     16.0MB     15.5MB      711MB
   2 10.244.34.4:57027                        =>     16.0MB     15.9MB     15.5MB      745MB
   3 10.244.34.4:50518                        =>     15.6MB     15.8MB     15.4MB      723MB
   4 10.244.34.4:48041                        =>     15.9MB     15.7MB     15.8MB      747MB
   1 10.244.34.4:57435                        =>     16.0MB     16.0MB     15.5MB      743MB
   2 10.244.34.4:57027                        =>     16.1MB     16.0MB     15.5MB      778MB
   3 10.244.34.4:48041                        =>     15.9MB     15.8MB     15.8MB      778MB
   4 10.244.34.4:50518                        =>     15.8MB     15.8MB     15.5MB      755MB
   1 10.244.34.4:57027                        =>     16.0MB     16.0MB     15.6MB      810MB
