"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
<<<<<<< HEAD
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem1024/180ms/8vms-r1.dest.dstat.csv",,,,"Date:","17 Jun 2014 16:41:58 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.095,0.055,99.824,0.024,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1519169536.0,115191808.0,12150300672.0,11538759680.0,301.022,2666.548
0.062,0.0,99.938,0.0,0.0,0.0,448.0,0.0,21158.0,33806.0,22462.0,34440.0,1518518272.0,115191808.0,12150312960.0,11539398656.0,0.0,0.0
0.563,0.501,98.686,0.250,0.0,0.0,500.0,0.0,1118.0,454.0,192133.0,24580.0,1534472192.0,115195904.0,12149895168.0,11523858432.0,0.0,90112.0
1.884,1.382,95.854,0.817,0.0,0.063,372.0,0.0,294129.0,28672.0,1185447.0,95495.0,1590673408.0,115228672.0,12145152000.0,11472367616.0,0.0,167936.0
1.570,1.193,96.294,0.942,0.0,0.0,568.0,198.0,938958.0,80048.0,2221918.0,156995.0,1643573248.0,115273728.0,12140609536.0,11423965184.0,4096.0,204800.0
0.063,0.063,99.875,0.0,0.0,0.0,490.0,106.0,1422506.0,63638.0,2803131.0,71552.0,1645928448.0,115273728.0,12140523520.0,11421696000.0,0.0,0.0
0.0,0.125,99.812,0.0,0.0,0.063,384.0,0.0,1566837.0,8684.0,3948005.0,23070.0,1645772800.0,115273728.0,12140535808.0,11421839360.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,384.0,106.0,2691700.0,16094.0,6617278.0,33702.0,1647513600.0,115273728.0,12140535808.0,11420098560.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,560.0,0.0,4220400.0,18758.0,9781755.0,42740.0,1657872384.0,115273728.0,12140535808.0,11409739776.0,0.0,0.0
0.125,0.188,99.625,0.0,0.0,0.063,628.0,242.0,6247497.0,27194.0,15701143.0,66520.0,1665753088.0,115273728.0,12140535808.0,11401859072.0,0.0,61440.0
0.125,0.188,99.562,0.125,0.0,0.0,592.0,220.0,9934024.0,41514.0,24471830.0,102172.0,1679843328.0,115277824.0,12140535808.0,11387764736.0,0.0,53248.0
0.188,0.251,99.498,0.0,0.0,0.063,554.0,284.0,15848496.0,68634.0,39427144.0,175586.0,1701187584.0,115277824.0,12140535808.0,11366420480.0,0.0,0.0
0.251,0.377,99.309,0.0,0.0,0.063,512.0,0.0,25753102.0,117184.0,63101478.0,288172.0,1738399744.0,115277824.0,12140535808.0,11329208320.0,0.0,0.0
0.315,0.505,99.180,0.0,0.0,0.0,448.0,0.0,41603064.0,194688.0,97474734.0,437112.0,1799114752.0,115277824.0,12140535808.0,11268493312.0,0.0,0.0
0.442,0.821,98.610,0.0,0.0,0.126,576.0,0.0,60713048.0,264954.0,139604478.0,593202.0,1891397632.0,115277824.0,12140535808.0,11176210432.0,0.0,0.0
0.442,0.631,98.801,0.0,0.0,0.126,362.0,106.0,83964382.0,362726.0,151018182.0,680248.0,1972269056.0,115277824.0,12140535808.0,11095339008.0,0.0,45056.0
0.947,0.821,97.917,0.126,0.0,0.189,750.0,174.0,69712231.0,318576.0,147016485.0,629826.0,2053312512.0,115281920.0,12140535808.0,11014291456.0,0.0,12288.0
1.832,0.695,97.284,0.0,0.0,0.190,500.0,0.0,81364351.0,334436.0,159438460.0,666476.0,2136903680.0,115281920.0,12140535808.0,10930700288.0,0.0,0.0
1.199,0.694,98.044,0.0,0.0,0.063,256.0,0.0,78418271.0,340620.0,140020619.0,589654.0,2203230208.0,115281920.0,12140535808.0,10864373760.0,0.0,0.0
