"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem1024/40ms/5vms-r1.router.dstat.csv",,,,"Date:","17 Jun 2014 21:15:11 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.857,0.173,98.887,0.082,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,5262884864.0,190849024.0,6424903680.0,13306179584.0,26659.248,114289.614
0.063,0.125,99.812,0.0,0.0,0.0,990.0,0.0,1228692.0,1091554.0,1229812.0,1091554.0,5263753216.0,190849024.0,6424907776.0,13305307136.0,0.0,0.0
0.126,0.126,99.748,0.0,0.0,0.0,192.0,0.0,12389291.0,11776665.0,12389483.0,11776665.0,5266165760.0,190849024.0,6424907776.0,13302894592.0,0.0,45056.0
0.064,0.064,99.872,0.0,0.0,0.0,842.0,304.0,73024755.0,71282356.0,73025597.0,71282660.0,5270999040.0,190849024.0,6424907776.0,13298061312.0,0.0,0.0
0.128,0.064,99.552,0.192,0.0,0.064,560.0,0.0,117002960.0,117600138.0,117003520.0,117600138.0,5270491136.0,190849024.0,6424907776.0,13298569216.0,0.0,90112.0
0.064,0.0,99.936,0.0,0.0,0.0,320.0,0.0,102431923.0,102208511.0,102432243.0,102208511.0,5270695936.0,190849024.0,6424907776.0,13298364416.0,0.0,0.0
0.064,0.064,99.872,0.0,0.0,0.0,128.0,0.0,109987465.0,109923758.0,109987723.0,109923758.0,5270949888.0,190849024.0,6424907776.0,13298110464.0,0.0,0.0
0.128,0.064,99.808,0.0,0.0,0.0,234.0,106.0,117085282.0,116878786.0,117085516.0,116878892.0,5270949888.0,190849024.0,6424907776.0,13298110464.0,0.0,8192.0
0.064,0.064,99.872,0.0,0.0,0.0,426.0,106.0,121023735.0,120925371.0,121024161.0,120925477.0,5269680128.0,190849024.0,6424907776.0,13299380224.0,0.0,0.0
0.064,0.064,99.744,0.128,0.0,0.0,256.0,0.0,121247793.0,121518154.0,121248049.0,121518154.0,5269680128.0,190849024.0,6424907776.0,13299380224.0,0.0,94208.0
0.192,0.064,99.680,0.0,0.0,0.064,786.0,106.0,110190118.0,109978922.0,110190904.0,109979028.0,5269442560.0,190849024.0,6424907776.0,13299617792.0,0.0,0.0
0.128,0.064,99.616,0.192,0.0,0.0,192.0,0.0,113365139.0,113401271.0,113365461.0,113401271.0,5269307392.0,190849024.0,6424907776.0,13299752960.0,0.0,155648.0
0.128,0.064,99.808,0.0,0.0,0.0,384.0,0.0,115557317.0,115528320.0,115557701.0,115528320.0,5269180416.0,190849024.0,6424907776.0,13299879936.0,0.0,28672.0
0.064,0.064,99.808,0.0,0.0,0.064,426.0,106.0,101485118.0,101608166.0,101485544.0,101608272.0,5269299200.0,190849024.0,6424907776.0,13299761152.0,0.0,0.0
0.128,0.128,99.744,0.0,0.0,0.0,554.0,106.0,106296899.0,106293321.0,106297453.0,106293573.0,5269045248.0,190849024.0,6424907776.0,13300015104.0,0.0,0.0
0.128,0.064,99.808,0.0,0.0,0.0,256.0,150.0,111790717.0,111942022.0,111790973.0,111942172.0,5269807104.0,190849024.0,6424907776.0,13299253248.0,0.0,4096.0
