"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/180ms/8vms-r2.dest.dstat.csv",,,,"Date:","13 Jun 2014 07:32:24 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.935,1.361,97.676,0.027,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,1992663040.0,422805504.0,9780940800.0,13126889472.0,264.518,3381.353
0.0,0.0,100.0,0.0,0.0,0.0,554.0,106.0,10574.0,8142.0,12130.0,8692.0,1992343552.0,422805504.0,9780965376.0,13127184384.0,0.0,0.0
0.688,0.563,98.373,0.375,0.0,0.0,698.0,0.0,1590.0,342.0,182390.0,12088.0,2005639168.0,422805504.0,9778487296.0,13116366848.0,0.0,126976.0
1.824,1.321,96.101,0.755,0.0,0.0,820.0,0.0,369444.0,18445.0,1266474.0,46632.0,2060529664.0,422805504.0,9757052928.0,13082910720.0,0.0,155648.0
1.566,1.190,96.617,0.564,0.0,0.063,378.0,106.0,1050654.0,30989.0,2340608.0,58628.0,2108010496.0,422805504.0,9747169280.0,13045313536.0,0.0,155648.0
0.0,0.313,99.687,0.0,0.0,0.0,512.0,0.0,1334654.0,21496.0,3083356.0,30946.0,2108833792.0,422805504.0,9747394560.0,13044264960.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,816.0,106.0,2025244.0,10708.0,4328294.0,21122.0,2109083648.0,422805504.0,9747390464.0,13044019200.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,448.0,0.0,2757770.0,12254.0,6050710.0,26456.0,2110730240.0,422805504.0,9747390464.0,13042372608.0,0.0,0.0
0.062,0.125,99.750,0.0,0.0,0.062,440.0,198.0,3437072.0,14908.0,7702744.0,33136.0,2118590464.0,422805504.0,9747390464.0,13034512384.0,0.0,0.0
