"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/20/2vms-r1.dest.dstat.csv",,,,"Date:","13 Jun 2014 01:40:42 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.937,1.364,97.670,0.027,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,3751718912.0,422793216.0,10520981504.0,10627805184.0,265.241,3384.200
0.062,0.125,99.813,0.0,0.0,0.0,436.0,0.0,10470.0,8018.0,11844.0,11718.0,3750940672.0,422793216.0,10521006080.0,10628558848.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,564.0,0.0,2436.0,2766.0,4802.0,6080.0,3750584320.0,422793216.0,10521001984.0,10628919296.0,0.0,0.0
0.063,0.0,99.937,0.0,0.0,0.0,438.0,0.0,938.0,492.0,5114.0,66037.0,3750592512.0,422793216.0,10521001984.0,10628911104.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,596.0,212.0,4836.0,65465.0,5704.0,67129.0,3750457344.0,422793216.0,10521001984.0,10629046272.0,0.0,0.0
0.062,0.0,99.938,0.0,0.0,0.0,464.0,0.0,366.0,492.0,1174.0,912.0,3749916672.0,422793216.0,10521001984.0,10629586944.0,0.0,0.0
0.0,0.125,99.750,0.125,0.0,0.0,384.0,0.0,524.0,428.0,1126.0,1520.0,3749576704.0,422793216.0,10521001984.0,10629926912.0,0.0,36864.0
0.250,0.063,99.687,0.0,0.0,0.0,192.0,0.0,204.0,492.0,1760.0,4370.0,3749527552.0,422793216.0,10521001984.0,10629976064.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,542.0,106.0,1494.0,906.0,3146.0,3854.0,3749511168.0,422793216.0,10521001984.0,10629992448.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,350.0,106.0,1546.0,1180.0,2580.0,2010.0,3749191680.0,422793216.0,10521088000.0,10630225920.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,590.0,92.0,2334.0,221694.0,5072.0,435452.0,3748700160.0,422793216.0,10521198592.0,10630606848.0,0.0,0.0
0.062,0.125,99.750,0.062,0.0,0.0,384.0,0.0,846.0,492.0,2260.0,1716.0,3748884480.0,422793216.0,10521198592.0,10630422528.0,0.0,16384.0
0.0,0.0,100.0,0.0,0.0,0.0,618.0,106.0,2546.0,2118.0,4438.0,4494.0,3748564992.0,422793216.0,10521198592.0,10630742016.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,128.0,0.0,302.0,492.0,866.0,1632.0,3748167680.0,422793216.0,10521198592.0,10631139328.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,554.0,106.0,562.0,428.0,1904.0,4450.0,3747962880.0,422793216.0,10521198592.0,10631344128.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,372.0,0.0,3722.0,391030.0,9648.0,967232.0,3747516416.0,422793216.0,10521264128.0,10631725056.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,756.0,106.0,4216.0,205320.0,5462.0,207958.0,3747540992.0,422793216.0,10521264128.0,10631700480.0,0.0,0.0
0.0,0.062,99.812,0.125,0.0,0.0,362.0,0.0,558.0,492.0,1609.0,2142.0,3747364864.0,422793216.0,10521264128.0,10631876608.0,0.0,16384.0
0.0,0.125,99.875,0.0,0.0,0.0,384.0,0.0,851.0,428.0,2693.0,2992.0,3747098624.0,422793216.0,10521268224.0,10632138752.0,0.0,0.0
0.062,4.125,95.812,0.0,0.0,0.0,468.0,212.0,4262.0,65230.0,7000.0,129298.0,3746942976.0,422793216.0,10521268224.0,10632294400.0,0.0,0.0
0.062,5.625,94.312,0.0,0.0,0.0,320.0,0.0,666.0,498.0,2343.0,8232.0,3746435072.0,422793216.0,10521268224.0,10632802304.0,0.0,0.0
0.0,2.877,97.123,0.0,0.0,0.0,128.0,68.0,1425.0,492.0,1943.0,2576.0,3747078144.0,422793216.0,10521268224.0,10632159232.0,0.0,0.0
0.063,0.063,99.812,0.063,0.0,0.0,320.0,0.0,498.0,1720.0,1142.0,4048.0,3746181120.0,422793216.0,10521268224.0,10633056256.0,0.0,237568.0
0.0,0.062,99.938,0.0,0.0,0.0,594.0,106.0,418.0,492.0,1448.0,1738.0,3746172928.0,422793216.0,10521268224.0,10633064448.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,490.0,106.0,562.0,428.0,1324.0,1986.0,3746156544.0,422793216.0,10521268224.0,10633080832.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,384.0,0.0,366.0,492.0,1678.0,912.0,3745931264.0,422793216.0,10521268224.0,10633306112.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,384.0,0.0,1162.0,428.0,1692.0,1520.0,3745988608.0,422793216.0,10521268224.0,10633248768.0,0.0,0.0
0.0,0.0,99.812,0.188,0.0,0.0,384.0,0.0,204.0,492.0,1084.0,912.0,3745939456.0,422793216.0,10521268224.0,10633297920.0,0.0,28672.0
0.062,0.062,99.875,0.0,0.0,0.0,698.0,174.0,622.0,428.0,2062.0,1694.0,3745681408.0,422793216.0,10521272320.0,10633551872.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,414.0,106.0,944.0,492.0,1926.0,2614.0,3745681408.0,422793216.0,10521272320.0,10633551872.0,0.0,0.0
0.0,0.062,99.938,0.0,0.0,0.0,578.0,92.0,916.0,428.0,2566.0,2044.0,3745427456.0,422793216.0,10521272320.0,10633805824.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,320.0,0.0,1142.0,492.0,3138.0,1356.0,3745873920.0,422793216.0,10521272320.0,10633359360.0,0.0,0.0
0.0,0.125,99.875,0.0,0.0,0.0,426.0,106.0,3400.0,2118.0,5146.0,4854.0,3745341440.0,422793216.0,10521272320.0,10633891840.0,0.0,8192.0
0.063,0.0,99.812,0.125,0.0,0.0,192.0,0.0,302.0,492.0,4186.0,65586.0,3745284096.0,422793216.0,10521272320.0,10633949184.0,0.0,24576.0
0.0,0.062,99.938,0.0,0.0,0.0,362.0,106.0,4772.0,65370.0,5904.0,66568.0,3745419264.0,422793216.0,10521272320.0,10633814016.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,1166.0,0.0,2166.0,18272.0,4672.0,36020.0,3745165312.0,422793216.0,10521272320.0,10634067968.0,0.0,0.0
0.062,0.187,99.750,0.0,0.0,0.0,478.0,106.0,1104.0,428.0,2488.0,2502.0,3745460224.0,422793216.0,10521272320.0,10633773056.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,372.0,0.0,516.0,492.0,2110.0,1272.0,3745411072.0,422793216.0,10521272320.0,10633822208.0,0.0,0.0
0.062,0.125,99.750,0.062,0.0,0.0,256.0,0.0,1532.0,428.0,1938.0,1520.0,3745402880.0,422793216.0,10521272320.0,10633830400.0,0.0,16384.0
0.0,0.0,100.0,0.0,0.0,0.0,426.0,106.0,204.0,492.0,1244.0,1378.0,3745275904.0,422793216.0,10521272320.0,10633957376.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,554.0,106.0,908.0,522.0,1802.0,1450.0,3745157120.0,422793216.0,10521272320.0,10634076160.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,192.0,0.0,366.0,492.0,990.0,1966.0,3745255424.0,422793216.0,10521272320.0,10633977856.0,0.0,0.0
0.0,0.125,99.875,0.0,0.0,0.0,496.0,0.0,434.0,2004.0,1604.0,4274.0,3745062912.0,422793216.0,10521272320.0,10634170368.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,542.0,106.0,918.0,492.0,2116.0,3334.0,3745054720.0,422793216.0,10521272320.0,10634178560.0,0.0,0.0
