"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/80ms/1vms-r2.router.dstat.csv",,,,"Date:","13 Jun 2014 04:21:25 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.879,0.175,98.861,0.084,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,9971027968.0,167653376.0,614408192.0,14431727616.0,27133.196,118402.815
3.435,0.437,96.127,0.0,0.0,0.0,618.0,106.0,112934.0,82494.0,113552.0,82912.0,9974452224.0,167653376.0,614412288.0,14428299264.0,0.0,0.0
0.998,0.250,98.752,0.0,0.0,0.0,604.0,92.0,677683.0,691998.0,678287.0,692090.0,9972293632.0,167653376.0,614412288.0,14430457856.0,0.0,1818624.0
0.810,0.249,98.941,0.0,0.0,0.0,808.0,0.0,1852913.0,1647617.0,1853721.0,1647929.0,9972670464.0,167653376.0,614416384.0,14430076928.0,0.0,0.0
0.687,0.312,99.001,0.0,0.0,0.0,580.0,212.0,4869860.0,4460141.0,4870440.0,4460353.0,9973297152.0,167653376.0,614416384.0,14429450240.0,0.0,4096.0
0.377,0.189,99.246,0.189,0.0,0.0,384.0,0.0,12902150.0,13509479.0,12902664.0,13509791.0,9974923264.0,167657472.0,614412288.0,14427824128.0,0.0,172032.0
0.441,0.126,99.433,0.0,0.0,0.0,689.0,0.0,27732637.0,25770830.0,27733326.0,25770830.0,9974685696.0,167657472.0,614416384.0,14428057600.0,0.0,0.0
0.565,0.251,99.183,0.0,0.0,0.0,448.0,0.0,35638312.0,36302106.0,35638760.0,36302418.0,9975287808.0,167657472.0,614416384.0,14427455488.0,0.0,0.0
0.441,0.189,99.307,0.0,0.0,0.063,298.0,106.0,38033058.0,37615555.0,38033356.0,37615661.0,9975414784.0,167657472.0,614416384.0,14427328512.0,0.0,0.0
0.379,0.126,99.242,0.253,0.0,0.0,426.0,106.0,39338272.0,38282231.0,39339368.0,38283333.0,9975160832.0,167657472.0,614416384.0,14427582464.0,0.0,49152.0
0.441,0.189,99.370,0.0,0.0,0.0,424.0,0.0,38757554.0,38425302.0,38758108.0,38425302.0,9973841920.0,167665664.0,614416384.0,14428893184.0,0.0,12288.0
0.630,0.126,98.992,0.252,0.0,0.0,448.0,0.0,38675575.0,38573168.0,38676023.0,38573480.0,9974837248.0,167673856.0,614412288.0,14427893760.0,0.0,139264.0
0.313,0.188,99.499,0.0,0.0,0.0,298.0,106.0,38856719.0,39045054.0,38857017.0,39045160.0,9972420608.0,167673856.0,614416384.0,14430306304.0,0.0,0.0
0.313,0.188,99.500,0.0,0.0,0.0,512.0,0.0,856545.0,3877520.0,857057.0,3877832.0,9972330496.0,167673856.0,614416384.0,14430396416.0,0.0,0.0
0.685,0.249,99.066,0.0,0.0,0.0,696.0,106.0,1354.0,609.0,2050.0,715.0,9971998720.0,167673856.0,614416384.0,14430728192.0,0.0,4096.0
0.622,0.373,98.880,0.124,0.0,0.0,384.0,0.0,1891.0,1004.0,2405.0,1448.0,9971736576.0,167677952.0,614412288.0,14430990336.0,0.0,118784.0
0.685,0.312,99.003,0.0,0.0,0.0,1012.0,0.0,1010.0,609.0,2022.0,609.0,9971867648.0,167677952.0,614416384.0,14430855168.0,0.0,0.0
