"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/80ms/1vms-r2.src.dstat.csv",,,,"Date:","13 Jun 2014 04:21:23 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.936,1.363,97.673,0.027,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,3988942848.0,422801408.0,10297880576.0,10613673984.0,264.910,3383.604
0.250,0.375,99.312,0.062,0.0,0.0,398.0,0.0,8222.0,255759.0,15954.0,518682.0,3990757376.0,422801408.0,10297896960.0,10611843072.0,0.0,53248.0
0.625,0.688,98.311,0.313,0.0,0.063,724.0,280.0,18030.0,151552.0,31080.0,336015.0,3992862720.0,422801408.0,10297901056.0,10609733632.0,0.0,81920.0
0.063,0.063,99.875,0.0,0.0,0.0,590.0,0.0,5248.0,604442.0,9998.0,1370898.0,3992821760.0,422801408.0,10297909248.0,10609766400.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,692.0,0.0,6108.0,1515178.0,12648.0,3371964.0,3993235456.0,422801408.0,10297913344.0,10609348608.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,484.0,0.0,19296.0,4645358.0,36052.0,9670360.0,3994079232.0,422801408.0,10297913344.0,10608504832.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,384.0,0.0,48708.0,11959048.0,96178.0,26447228.0,3996180480.0,422801408.0,10297913344.0,10606403584.0,0.0,0.0
0.438,0.438,98.873,0.250,0.0,0.0,802.0,212.0,113849.0,25208213.0,204864.0,51647516.0,3996823552.0,422801408.0,10297921536.0,10605752320.0,0.0,61440.0
1.003,0.251,98.747,0.0,0.0,0.0,526.0,92.0,134254.0,35938465.0,242674.0,71105529.0,3996921856.0,422801408.0,10297917440.0,10605658112.0,0.0,0.0
0.063,1.003,98.934,0.0,0.0,0.0,192.0,0.0,153502.0,38145385.0,266092.0,74627414.0,3995881472.0,422801408.0,10297917440.0,10606698496.0,0.0,0.0
0.0,5.201,94.737,0.0,0.0,0.063,320.0,0.0,166194.0,38119565.0,289450.0,74519356.0,3995734016.0,422801408.0,10297917440.0,10606845952.0,0.0,0.0
0.063,6.332,93.605,0.0,0.0,0.0,414.0,106.0,163948.0,38298244.0,285792.0,74830472.0,3995467776.0,422801408.0,10297917440.0,10607112192.0,0.0,0.0
0.313,6.708,92.790,0.188,0.0,0.0,606.0,106.0,165832.0,38505320.0,292653.0,75348083.0,3996995584.0,422801408.0,10297925632.0,10605576192.0,0.0,90112.0
0.188,6.395,93.417,0.0,0.0,0.0,256.0,0.0,166425.0,38670152.0,288383.0,73328245.0,3994206208.0,422801408.0,10297933824.0,10608357376.0,0.0,0.0
0.0,6.312,93.688,0.0,0.0,0.0,448.0,0.0,36506.0,5582625.0,39642.0,5583933.0,3992457216.0,422801408.0,10297933824.0,10610106368.0,0.0,0.0
0.0,6.258,93.742,0.0,0.0,0.0,760.0,106.0,1420.0,278.0,3344.0,3330.0,3992494080.0,422801408.0,10297929728.0,10610073600.0,0.0,0.0
0.062,2.498,97.439,0.0,0.0,0.0,320.0,0.0,346.0,4798.0,958.0,9822.0,3992358912.0,422801408.0,10297929728.0,10610208768.0,0.0,0.0
0.188,0.250,99.562,0.0,0.0,0.0,1182.0,106.0,492.0,278.0,5654.0,4653.0,3992465408.0,422801408.0,10297933824.0,10610098176.0,0.0,0.0
