"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem512/0.4ms/2vms-r1.router.dstat.csv",,,,"Date:","16 Jun 2014 00:56:53 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.866,0.175,98.875,0.083,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,9945251840.0,179335168.0,483577856.0,14576652288.0,26436.146,115867.128
0.446,0.127,99.427,0.0,0.0,0.0,426.0,106.0,92479250.0,92438835.0,92479996.0,92439289.0,9944838144.0,179335168.0,483577856.0,14577065984.0,0.0,0.0
0.512,0.256,99.040,0.192,0.0,0.0,772.0,106.0,121857669.0,121865122.0,121858441.0,121865540.0,9945088000.0,179335168.0,483581952.0,14576812032.0,0.0,90112.0
0.640,0.192,99.168,0.0,0.0,0.0,1032.0,298.0,123021630.0,123011289.0,123022792.0,123011587.0,9945055232.0,179335168.0,483581952.0,14576844800.0,0.0,0.0
0.320,0.128,99.488,0.0,0.0,0.064,448.0,0.0,123120346.0,123133607.0,123120794.0,123133919.0,9944424448.0,179335168.0,483581952.0,14577475584.0,0.0,0.0
0.321,0.192,99.487,0.0,0.0,0.0,192.0,0.0,123131865.0,123124686.0,123132057.0,123124686.0,9944424448.0,179335168.0,483581952.0,14577475584.0,0.0,0.0
0.321,0.128,99.487,0.0,0.0,0.064,852.0,212.0,123171198.0,123167045.0,123172120.0,123167653.0,9944100864.0,179335168.0,483581952.0,14577799168.0,0.0,0.0
0.383,0.128,99.361,0.128,0.0,0.0,1600.0,0.0,122978172.0,122983581.0,122979772.0,122983581.0,9943969792.0,179339264.0,483581952.0,14577926144.0,0.0,32768.0
0.575,0.128,99.297,0.0,0.0,0.0,654.0,156.0,123116473.0,123116702.0,123117257.0,123117170.0,9943691264.0,179339264.0,483581952.0,14578204672.0,0.0,0.0
0.256,0.128,99.359,0.256,0.0,0.0,192.0,0.0,123087012.0,123082133.0,123087204.0,123082133.0,9943568384.0,179339264.0,483586048.0,14578323456.0,4096.0,77824.0
0.383,0.192,99.361,0.0,0.0,0.064,658.0,106.0,123088052.0,123088773.0,123088710.0,123089323.0,9943121920.0,179339264.0,483581952.0,14578774016.0,0.0,4096.0
0.383,0.064,99.553,0.0,0.0,0.0,618.0,174.0,122157170.0,122175325.0,122157788.0,122175499.0,9943121920.0,179339264.0,483581952.0,14578774016.0,0.0,0.0
0.439,0.063,99.498,0.0,0.0,0.0,448.0,0.0,26375733.0,26393340.0,26376181.0,26393652.0,9943121920.0,179339264.0,483581952.0,14578774016.0,0.0,0.0
