   1 10.244.34.5:46053                        =>     40.5MB     40.5MB     40.5MB     81.0MB
   2 10.244.34.5:44238                        =>     9.26MB     9.26MB     9.26MB     18.5MB
   3 10.244.34.5:37891                        =>      483KB      483KB      483KB      966KB
   9 10.244.34.5:53657                        =>       656B       656B       656B     1.28KB
   1 10.244.34.5:46053                        =>     27.1MB     33.8MB     33.8MB      135MB
   2 10.244.34.5:44238                        =>     18.5MB     13.9MB     13.9MB     55.4MB
   3 10.244.34.5:37891                        =>     23.7MB     12.1MB     12.1MB     48.4MB
   4 10.244.34.5:57772                        =>     15.0MB     7.51MB     7.51MB     30.0MB
   5 10.244.34.5:60901                        =>     14.8MB     7.41MB     7.41MB     29.7MB
   6 10.244.34.5:59565                        =>     7.07MB     3.53MB     3.53MB     14.1MB
   7 10.244.34.5:43319                        =>     3.76MB     1.88MB     1.88MB     7.52MB
   8 10.244.34.5:36454                        =>     1.77MB      909KB      909KB     3.55MB
   1 10.244.34.5:46053                        =>     14.6MB     27.4MB     27.4MB      164MB
   2 10.244.34.5:44238                        =>     14.4MB     14.0MB     14.0MB     84.2MB
   3 10.244.34.5:37891                        =>     12.1MB     12.1MB     12.1MB     72.6MB
   4 10.244.34.5:60901                        =>     19.1MB     11.3MB     11.3MB     67.9MB
   5 10.244.34.5:57772                        =>     13.7MB     9.56MB     9.56MB     57.4MB
   6 10.244.34.5:59565                        =>     11.3MB     6.11MB     6.11MB     36.7MB
   7 10.244.34.5:36454                        =>     14.7MB     5.48MB     5.48MB     32.9MB
   8 10.244.34.5:43319                        =>     12.5MB     5.42MB     5.42MB     32.5MB
   1 10.244.34.5:46053                        =>     12.4MB     23.7MB     23.7MB      189MB
   2 10.244.34.5:44238                        =>     16.3MB     14.6MB     14.6MB      117MB
   3 10.244.34.5:37891                        =>     13.0MB     12.3MB     12.3MB     98.5MB
   4 10.244.34.5:60901                        =>     14.7MB     12.2MB     12.2MB     97.3MB
   5 10.244.34.5:57772                        =>     13.4MB     10.5MB     10.5MB     84.3MB
   6 10.244.34.5:59565                        =>     18.2MB     9.14MB     9.14MB     73.1MB
   7 10.244.34.5:43319                        =>     14.7MB     7.75MB     7.75MB     62.0MB
   8 10.244.34.5:36454                        =>     9.60MB     6.51MB     6.51MB     52.1MB
   1 10.244.34.5:46053                        =>     14.3MB     21.8MB     21.8MB      218MB
   2 10.244.34.5:44238                        =>     11.6MB     14.0MB     14.0MB      140MB
   3 10.244.34.5:37891                        =>     16.1MB     13.1MB     13.1MB      131MB
   4 10.244.34.5:60901                        =>     12.5MB     12.2MB     12.2MB      122MB
   5 10.244.34.5:57772                        =>     16.6MB     11.7MB     11.7MB      117MB
   6 10.244.34.5:59565                        =>     16.6MB     10.6MB     10.6MB      106MB
   7 10.244.34.5:43319                        =>     11.6MB     8.51MB     8.51MB     85.1MB
