"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem512/180ms/8vms-r2.router.dstat.csv",,,,"Date:","15 Jun 2014 17:31:14 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.868,0.175,98.874,0.083,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,9962483712.0,177102848.0,528429056.0,14516801536.0,26513.590,116145.644
0.437,0.187,99.375,0.0,0.0,0.0,554.0,106.0,248727.0,213247.0,249281.0,213353.0,9962336256.0,177102848.0,528433152.0,14516944896.0,0.0,0.0
0.313,0.250,99.249,0.188,0.0,0.0,320.0,0.0,835494.0,768178.0,835944.0,768490.0,9962188800.0,177106944.0,528429056.0,14517092352.0,0.0,77824.0
0.376,0.125,99.499,0.0,0.0,0.0,384.0,0.0,1727854.0,1617135.0,1728238.0,1617135.0,9962188800.0,177106944.0,528429056.0,14517092352.0,0.0,0.0
0.438,0.125,99.437,0.0,0.0,0.0,616.0,0.0,2435217.0,2455059.0,2435833.0,2455371.0,9962491904.0,177106944.0,528429056.0,14516789248.0,0.0,0.0
0.501,0.125,99.374,0.0,0.0,0.0,858.0,174.0,4135866.0,3924284.0,4136724.0,3924458.0,9962176512.0,177106944.0,528429056.0,14517104640.0,0.0,0.0
0.376,0.188,99.436,0.0,0.0,0.0,426.0,106.0,5948670.0,5753533.0,5949096.0,5753951.0,9963040768.0,177106944.0,528429056.0,14516240384.0,0.0,28672.0
0.439,0.313,99.248,0.0,0.0,0.0,556.0,242.0,8929175.0,8569329.0,8929861.0,8570593.0,9964437504.0,177106944.0,528429056.0,14514843648.0,0.0,0.0
0.314,0.063,99.497,0.126,0.0,0.0,256.0,0.0,14265428.0,13627728.0,14265684.0,13628040.0,9967357952.0,177106944.0,528429056.0,14511923200.0,0.0,16384.0
