"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem1024/180ms/5vms-r1.dest.dstat.csv",,,,"Date:","17 Jun 2014 14:35:51 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.893,1.311,97.768,0.026,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,2680385536.0,422932480.0,9800392704.0,12419588096.0,252.419,3289.805
0.0,0.062,99.938,0.0,0.0,0.0,448.0,0.0,3174.0,1708.0,4606.0,3130.0,2679631872.0,422932480.0,9800396800.0,12420337664.0,0.0,0.0
0.626,0.501,98.436,0.375,0.0,0.063,774.0,0.0,183910.0,8299.0,364304.0,19951.0,2694529024.0,422932480.0,9762750464.0,12443086848.0,0.0,135168.0
1.570,1.131,95.603,1.696,0.0,0.0,560.0,0.0,699744.0,112743.0,1425788.0,223284.0,2736037888.0,422932480.0,9761132544.0,12403195904.0,0.0,167936.0
0.438,0.313,99.249,0.0,0.0,0.0,478.0,106.0,838050.0,14719.0,1688570.0,24621.0,2750414848.0,422932480.0,9760989184.0,12388962304.0,0.0,40960.0
0.0,0.063,99.875,0.0,0.0,0.063,478.0,106.0,1190125.0,69234.0,2391712.0,138579.0,2750435328.0,422932480.0,9761005568.0,12388925440.0,0.0,0.0
0.0,0.125,99.875,0.0,0.0,0.0,554.0,0.0,1731012.0,7844.0,3443010.0,15368.0,2750304256.0,422932480.0,9761021952.0,12389040128.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,234.0,106.0,2728002.0,11758.0,5502268.0,24006.0,2751893504.0,422932480.0,9761021952.0,12387450880.0,0.0,0.0
0.0,0.125,99.875,0.0,0.0,0.0,462.0,92.0,4175722.0,17568.0,8325746.0,35398.0,2757677056.0,422932480.0,9761021952.0,12381667328.0,0.0,0.0
0.125,0.187,99.500,0.125,0.0,0.062,670.0,68.0,6295946.0,26108.0,12445174.0,52150.0,2761383936.0,422932480.0,9761021952.0,12377960448.0,0.0,45056.0
0.063,0.188,99.750,0.0,0.0,0.0,776.0,106.0,9837662.0,41234.0,19744688.0,82122.0,2771398656.0,422932480.0,9761021952.0,12367945728.0,0.0,40960.0
0.125,0.251,99.561,0.0,0.0,0.063,494.0,106.0,16053654.0,69858.0,31915566.0,138266.0,2787876864.0,422932480.0,9761021952.0,12351467520.0,0.0,0.0
0.126,0.251,99.561,0.0,0.0,0.063,786.0,0.0,24592190.0,108154.0,49573626.0,216652.0,2812760064.0,422932480.0,9761021952.0,12326584320.0,0.0,0.0
0.252,0.377,99.308,0.0,0.0,0.063,320.0,0.0,36205154.0,159416.0,71257982.0,312840.0,2849738752.0,422932480.0,9761021952.0,12289605632.0,0.0,0.0
0.314,0.629,98.994,0.0,0.0,0.063,320.0,0.0,47416132.0,201754.0,94627810.0,397108.0,2902044672.0,422932480.0,9761021952.0,12237299712.0,0.0,0.0
0.315,1.828,97.667,0.063,0.0,0.126,362.0,106.0,58399390.0,234288.0,113980092.0,454702.0,2971615232.0,422932480.0,9761021952.0,12167729152.0,0.0,12288.0
1.006,5.783,93.086,0.0,0.0,0.126,1126.0,106.0,65045708.0,243674.0,130884368.0,487524.0,3044360192.0,422932480.0,9761021952.0,12094984192.0,0.0,4096.0
1.388,1.767,96.719,0.0,0.0,0.126,320.0,0.0,76993712.0,306248.0,148310451.0,580146.0,3119226880.0,422932480.0,9761021952.0,12020117504.0,0.0,0.0
2.151,0.949,96.774,0.0,0.0,0.127,740.0,0.0,79984722.0,296804.0,160013694.0,595586.0,3206524928.0,422932480.0,9761034240.0,11932807168.0,0.0,0.0
1.706,0.884,97.284,0.0,0.0,0.126,308.0,0.0,82243585.0,334810.0,160719589.0,656997.0,3285577728.0,422932480.0,9761034240.0,11853754368.0,0.0,0.0
0.380,0.569,98.925,0.0,0.0,0.127,907.0,212.0,73924882.0,321898.0,139882986.0,601762.0,3353026560.0,422932480.0,9761034240.0,11786305536.0,0.0,0.0
0.569,1.011,98.357,0.0,0.0,0.063,384.0,0.0,73427584.0,370381.0,150078069.0,747636.0,3430367232.0,422932480.0,9761034240.0,11708964864.0,0.0,16384.0
0.569,0.759,98.546,0.0,0.0,0.126,384.0,0.0,80655436.0,331454.0,152804383.0,624634.0,3501248512.0,422932480.0,9761034240.0,11638083584.0,0.0,12288.0
0.444,0.951,98.542,0.0,0.0,0.063,192.0,0.0,80728513.0,331028.0,161889760.0,657450.0,3582894080.0,422932480.0,9761034240.0,11556438016.0,0.0,0.0
0.506,1.011,98.357,0.0,0.0,0.126,994.0,106.0,84070562.0,344404.0,163013459.0,663824.0,3660304384.0,422932480.0,9761034240.0,11479027712.0,0.0,0.0
