"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem1024/180ms/5vms-r1.router.dstat.csv",,,,"Date:","17 Jun 2014 14:35:54 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.859,0.174,98.884,0.082,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,5278732288.0,188956672.0,4597616640.0,15119511552.0,26506.902,114527.132
0.125,0.125,99.750,0.0,0.0,0.0,658.0,106.0,211095.0,192349.0,211753.0,192455.0,5278588928.0,188956672.0,4597616640.0,15119654912.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,192.0,0.0,780652.0,658368.0,780844.0,658368.0,5278785536.0,188956672.0,4597620736.0,15119454208.0,0.0,4096.0
0.125,0.125,99.500,0.250,0.0,0.0,717.0,0.0,1226243.0,1256013.0,1227090.0,1256013.0,5278912512.0,188956672.0,4597620736.0,15119327232.0,0.0,86016.0
0.125,0.125,99.750,0.0,0.0,0.0,170.0,106.0,1815829.0,1767675.0,1815999.0,1767781.0,5278625792.0,188956672.0,4597620736.0,15119613952.0,0.0,12288.0
0.125,0.063,99.812,0.0,0.0,0.0,448.0,0.0,3054124.0,3005962.0,3054572.0,3005962.0,5278498816.0,188956672.0,4597620736.0,15119740928.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,648.0,106.0,4556520.0,4146315.0,4557168.0,4146421.0,5278527488.0,188956672.0,4597620736.0,15119712256.0,0.0,0.0
0.125,0.125,99.749,0.0,0.0,0.0,734.0,0.0,6728951.0,6652983.0,6729685.0,6652983.0,5279543296.0,188956672.0,4597620736.0,15118696448.0,0.0,0.0
0.126,0.063,99.812,0.0,0.0,0.0,546.0,106.0,10831922.0,10388350.0,10832598.0,10388456.0,5280444416.0,188956672.0,4597620736.0,15117795328.0,0.0,0.0
0.063,0.126,99.623,0.188,0.0,0.0,734.0,0.0,17492054.0,16501062.0,17492788.0,16501062.0,5280952320.0,188956672.0,4597620736.0,15117287424.0,0.0,32768.0
0.126,0.063,99.811,0.0,0.0,0.0,334.0,92.0,26688813.0,26135190.0,26689147.0,26135282.0,5281579008.0,188956672.0,4597620736.0,15116660736.0,0.0,0.0
0.126,0.126,99.684,0.0,0.0,0.063,554.0,174.0,38485254.0,36773268.0,38485808.0,36773442.0,5285900288.0,188956672.0,4597620736.0,15112339456.0,0.0,0.0
0.506,0.063,99.431,0.0,0.0,0.0,397.0,106.0,49525194.0,49588584.0,49525591.0,49588690.0,5285265408.0,188956672.0,4597620736.0,15112974336.0,0.0,4096.0
0.127,0.063,99.810,0.0,0.0,0.0,1084.0,0.0,60389011.0,58230443.0,60390225.0,58230443.0,5288947712.0,188956672.0,4597620736.0,15109292032.0,0.0,0.0
0.127,0.064,99.555,0.191,0.0,0.064,256.0,0.0,66900718.0,67544503.0,66900974.0,67544503.0,5286907904.0,188956672.0,4597620736.0,15111331840.0,0.0,57344.0
0.127,0.064,99.809,0.0,0.0,0.0,920.0,0.0,77641948.0,76029879.0,77642868.0,76029879.0,5291479040.0,188956672.0,4597620736.0,15106760704.0,0.0,0.0
0.127,0.127,99.682,0.0,0.0,0.064,340.0,212.0,82311401.0,81567719.0,82311741.0,81567931.0,5287669760.0,188956672.0,4597620736.0,15110569984.0,0.0,0.0
0.191,0.127,99.682,0.0,0.0,0.0,759.0,0.0,82100748.0,84324968.0,82101507.0,84324968.0,5287043072.0,188956672.0,4597620736.0,15111196672.0,0.0,0.0
2.735,0.127,97.137,0.0,0.0,0.0,419.0,0.0,72319720.0,69522974.0,72320269.0,69522974.0,5295169536.0,188956672.0,4597620736.0,15103070208.0,0.0,0.0
1.211,0.064,98.662,0.0,0.0,0.064,618.0,106.0,75209881.0,77813163.0,75210499.0,77813269.0,5286723584.0,188956672.0,4597620736.0,15111516160.0,0.0,1773568.0
0.127,0.064,99.682,0.127,0.0,0.0,64.0,0.0,80300757.0,78740231.0,80300821.0,78740231.0,5294460928.0,188956672.0,4597628928.0,15103770624.0,0.0,94208.0
0.0,0.064,99.936,0.0,0.0,0.0,1058.0,106.0,82534215.0,82126055.0,82535273.0,82126207.0,5288747008.0,188956672.0,4597628928.0,15109484544.0,0.0,0.0
0.191,0.064,99.745,0.0,0.0,0.0,728.0,0.0,83771915.0,84574375.0,83772643.0,84574375.0,5292675072.0,188956672.0,4597628928.0,15105556480.0,0.0,20480.0
0.128,0.064,99.745,0.064,0.0,0.0,320.0,0.0,86385598.0,85116689.0,86386048.0,85116689.0,5291786240.0,188956672.0,4597628928.0,15106445312.0,0.0,20480.0
0.127,0.191,99.618,0.0,0.0,0.064,298.0,106.0,85856248.0,88039447.0,85856546.0,88039553.0,5291421696.0,188956672.0,4597628928.0,15106809856.0,0.0,155648.0
0.127,0.0,99.873,0.0,0.0,0.0,483.0,0.0,89222623.0,85591512.0,89223106.0,85591512.0,5294088192.0,188956672.0,4597628928.0,15104143360.0,0.0,0.0
0.191,0.064,99.745,0.0,0.0,0.0,298.0,106.0,84800495.0,89062858.0,84800793.0,89062964.0,5291024384.0,188956672.0,4597633024.0,15107203072.0,0.0,0.0
0.127,0.064,99.618,0.191,0.0,0.0,672.0,300.0,89183920.0,84950513.0,89184592.0,84950813.0,5295337472.0,188956672.0,4597633024.0,15102889984.0,0.0,143360.0
0.127,0.127,99.682,0.0,0.0,0.064,362.0,106.0,86229131.0,89508094.0,86229623.0,89508346.0,5289611264.0,188956672.0,4597633024.0,15108616192.0,0.0,4096.0
0.064,0.064,99.872,0.0,0.0,0.0,744.0,218.0,88029283.0,86519163.0,88030027.0,86519381.0,5294690304.0,188956672.0,4597633024.0,15103537152.0,0.0,32768.0
0.064,0.0,99.936,0.0,0.0,0.0,369.0,92.0,87691003.0,87361644.0,87691372.0,87361736.0,5290872832.0,188956672.0,4597633024.0,15107354624.0,0.0,0.0
0.127,0.064,99.745,0.0,0.0,0.064,589.0,106.0,86296148.0,87458316.0,86296737.0,87458422.0,5293158400.0,188956672.0,4597633024.0,15105069056.0,0.0,0.0
0.127,0.064,99.554,0.255,0.0,0.0,474.0,106.0,88208834.0,86352089.0,88209308.0,86352195.0,5292396544.0,188956672.0,4597633024.0,15105830912.0,0.0,90112.0
0.128,0.0,99.872,0.0,0.0,0.0,717.0,0.0,85255710.0,88945763.0,85256557.0,88945763.0,5291507712.0,188956672.0,4597633024.0,15106719744.0,0.0,0.0
0.127,0.064,99.809,0.0,0.0,0.0,192.0,0.0,89160509.0,84605633.0,89160701.0,84605633.0,5291507712.0,188956672.0,4597633024.0,15106719744.0,0.0,24576.0
0.254,0.127,99.619,0.0,0.0,0.0,448.0,68.0,69257823.0,76059220.0,69258271.0,76059288.0,5288714240.0,188956672.0,4597633024.0,15109513216.0,0.0,4096.0
0.064,0.064,99.809,0.0,0.0,0.064,700.0,212.0,77263644.0,70675029.0,77264344.0,70675241.0,5291888640.0,188956672.0,4597633024.0,15106338816.0,0.0,0.0
0.127,0.064,99.427,0.382,0.0,0.0,862.0,0.0,73942927.0,79166539.0,73943789.0,79166539.0,5290237952.0,188956672.0,4597633024.0,15107989504.0,0.0,69632.0
0.064,0.064,99.873,0.0,0.0,0.0,528.0,0.0,80706905.0,75497610.0,80707563.0,75497610.0,5294428160.0,188956672.0,4597633024.0,15103799296.0,0.0,0.0
0.064,0.0,99.936,0.0,0.0,0.0,704.0,0.0,77755996.0,82307979.0,77756700.0,82307979.0,5289984000.0,188956672.0,4597633024.0,15108243456.0,0.0,8192.0
0.127,0.064,99.809,0.0,0.0,0.0,333.0,106.0,83583220.0,79255616.0,83583553.0,79255722.0,5293621248.0,188956672.0,4597637120.0,15104602112.0,0.0,0.0
0.064,0.064,99.809,0.0,0.0,0.064,618.0,106.0,80524926.0,83625152.0,80525544.0,83625258.0,5290954752.0,188956672.0,4597637120.0,15107268608.0,0.0,0.0
0.127,0.064,99.809,0.0,0.0,0.0,256.0,0.0,82958953.0,81448515.0,82959209.0,81448515.0,5292695552.0,188956672.0,4597637120.0,15105527808.0,0.0,4096.0
0.127,0.064,99.491,0.318,0.0,0.0,1670.0,106.0,82914864.0,82716388.0,82916664.0,82716494.0,5290156032.0,188956672.0,4597637120.0,15108067328.0,0.0,61440.0
0.127,0.509,99.300,0.0,0.0,0.064,64.0,0.0,81387728.0,83216693.0,81387792.0,83216693.0,5292376064.0,188956672.0,4597637120.0,15105847296.0,0.0,0.0
0.064,0.0,99.936,0.0,0.0,0.0,932.0,0.0,84038203.0,81661202.0,84039135.0,81661202.0,5291360256.0,188956672.0,4597637120.0,15106863104.0,0.0,0.0
0.127,0.127,99.492,0.254,0.0,0.0,397.0,106.0,80754919.0,82868155.0,80755316.0,82868261.0,5290471424.0,188956672.0,4597637120.0,15107751936.0,0.0,40960.0
0.127,0.0,99.809,0.0,0.0,0.064,490.0,106.0,83099031.0,80784475.0,83099521.0,80784581.0,5293010944.0,188956672.0,4597637120.0,15105212416.0,0.0,0.0
0.127,0.064,99.809,0.0,0.0,0.0,601.0,0.0,80910053.0,84195065.0,80910784.0,84195065.0,5290217472.0,188956672.0,4597637120.0,15108005888.0,0.0,0.0
0.127,0.064,99.363,0.446,0.0,0.0,448.0,0.0,84899309.0,80985626.0,84899757.0,80985626.0,5290156032.0,188956672.0,4597637120.0,15108067328.0,0.0,7430144.0
0.127,0.063,99.810,0.0,0.0,0.0,630.0,92.0,76893354.0,80314201.0,76893984.0,80314293.0,5287616512.0,188956672.0,4597637120.0,15110606848.0,0.0,0.0
0.063,0.063,99.622,0.252,0.0,0.0,554.0,106.0,55796280.0,58897593.0,55796834.0,58897699.0,5283807232.0,188956672.0,4597637120.0,15114416128.0,0.0,57344.0
0.126,0.063,99.811,0.0,0.0,0.0,298.0,106.0,33747043.0,33387105.0,33747341.0,33387211.0,5284184064.0,188956672.0,4597641216.0,15114035200.0,0.0,0.0
0.126,0.063,99.622,0.189,0.0,0.0,384.0,0.0,34399753.0,34820599.0,34400267.0,34820599.0,5282140160.0,188956672.0,4597641216.0,15116079104.0,0.0,94208.0
0.125,0.063,99.812,0.0,0.0,0.0,192.0,0.0,26195584.0,28986296.0,26195776.0,28986296.0,5281505280.0,188956672.0,4597641216.0,15116713984.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,483.0,0.0,1734.0,1062.0,2217.0,1062.0,5281116160.0,188956672.0,4597641216.0,15117103104.0,0.0,0.0
