"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem1024/180ms/5vms-r1.src.dstat.csv",,,,"Date:","17 Jun 2014 14:35:51 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.095,0.056,99.824,0.024,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,6253903872.0,110993408.0,12140724224.0,6817800192.0,301.278,2665.790
0.062,0.0,99.938,0.0,0.0,0.0,534.0,0.0,48386.0,60051.0,49904.0,67229.0,6252875776.0,110993408.0,12140744704.0,6818807808.0,0.0,0.0
1.189,1.502,96.746,0.563,0.0,0.0,666.0,106.0,744.0,214.0,14210.0,51393.0,6261006336.0,111009792.0,12140781568.0,6810624000.0,0.0,163840.0
0.375,0.125,99.500,0.0,0.0,0.0,612.0,0.0,17190.0,89053.0,25298.0,423691.0,6260432896.0,111009792.0,12140793856.0,6811185152.0,0.0,0.0
1.443,1.506,96.361,0.690,0.0,0.0,478.0,106.0,14358.0,497972.0,45036.0,1242439.0,6266068992.0,111030272.0,12140826624.0,6805495808.0,0.0,188416.0
0.188,0.250,99.375,0.125,0.0,0.062,554.0,0.0,30452.0,1035925.0,36918.0,2259178.0,6264766464.0,111038464.0,12140822528.0,6806794240.0,0.0,40960.0
1.319,1.759,96.294,0.628,0.0,0.0,128.0,0.0,17224.0,1410272.0,46361.0,3110301.0,6266310656.0,111067136.0,12140941312.0,6805102592.0,0.0,229376.0
0.313,0.439,99.185,0.063,0.0,0.0,532.0,280.0,25603.0,2264557.0,41006.0,5135339.0,6266003456.0,111075328.0,12140982272.0,6805360640.0,0.0,36864.0
1.003,1.317,96.740,0.878,0.0,0.063,670.0,0.0,33093.0,3542188.0,70771.0,8165113.0,6268170240.0,111116288.0,12140982272.0,6803152896.0,0.0,196608.0
0.627,0.752,98.370,0.251,0.0,0.0,734.0,0.0,34358.0,5390605.0,66098.0,11775968.0,6270083072.0,111132672.0,12141006848.0,6801199104.0,0.0,77824.0
0.690,1.066,97.679,0.565,0.0,0.0,180.0,0.0,55272.0,7767784.0,96323.0,17265548.0,6271492096.0,111165440.0,12141015040.0,6799749120.0,0.0,184320.0
1.069,1.194,97.046,0.629,0.0,0.063,1178.0,198.0,49515.0,12304749.0,118684.0,28535055.0,6275031040.0,111198208.0,12141027328.0,6796165120.0,0.0,155648.0
0.438,0.689,98.560,0.313,0.0,0.0,298.0,106.0,104277.0,19522475.0,189081.0,44292790.0,6277382144.0,111214592.0,12141047808.0,6793777152.0,0.0,77824.0
1.386,1.827,96.093,0.630,0.0,0.063,448.0,0.0,131473.0,30091565.0,269554.0,65315846.0,6284439552.0,111263744.0,12141047808.0,6786670592.0,0.0,229376.0
0.126,0.377,99.497,0.0,0.0,0.0,128.0,0.0,190888.0,40954914.0,341564.0,88054282.0,6283096064.0,111263744.0,12141080576.0,6787981312.0,0.0,0.0
1.513,2.018,95.397,0.883,0.0,0.189,840.0,106.0,227270.0,53403303.0,420017.0,108974701.0,6284898304.0,111296512.0,12141137920.0,6786088960.0,0.0,225280.0
1.322,0.756,97.796,0.126,0.0,0.0,606.0,0.0,254307.0,61578752.0,444850.0,125155474.0,6285672448.0,111296512.0,12141150208.0,6785302528.0,0.0,40960.0
2.276,1.707,95.322,0.569,0.0,0.126,910.0,106.0,275293.0,70943944.0,509885.0,143804856.0,6283018240.0,111321088.0,12141187072.0,6787895296.0,0.0,192512.0
