"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2//vms-r.src.dstat.csv",,,,"Date:","13 Jun 2014 01:40:31 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.937,1.364,97.670,0.027,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,3740426240.0,422789120.0,10520768512.0,10639314944.0,265.241,3384.107
0.689,1.064,97.808,0.438,0.0,0.0,448.0,0.0,16080.0,31098.0,29626.0,93521.0,3744006144.0,422789120.0,10520797184.0,10635706368.0,0.0,319488.0
1.443,1.945,95.420,1.129,0.0,0.063,490.0,106.0,31505.0,111772.0,63751.0,246310.0,3747471360.0,422789120.0,10520887296.0,10632151040.0,0.0,266240.0
0.063,0.0,99.937,0.0,0.0,0.0,256.0,68.0,12751.0,63943.0,13471.0,65481.0,3746897920.0,422789120.0,10520899584.0,10632712192.0,0.0,12288.0
0.0,0.062,99.938,0.0,0.0,0.0,734.0,106.0,364.0,214.0,1370.0,2438.0,3746689024.0,422789120.0,10520903680.0,10632916992.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,542.0,106.0,3608.0,286588.0,7310.0,561486.0,3746619392.0,422789120.0,10520973312.0,10632916992.0,0.0,0.0
0.250,0.375,99.249,0.125,0.0,0.0,384.0,0.0,556.0,308.0,5238.0,5433.0,3747487744.0,422789120.0,10520989696.0,10632032256.0,0.0,45056.0
0.0,0.125,99.875,0.0,0.0,0.0,320.0,0.0,4734.0,4691.0,5426.0,4991.0,3746664448.0,422789120.0,10520989696.0,10632855552.0,0.0,0.0
0.0,0.062,99.938,0.0,0.0,0.0,1332.0,0.0,364.0,214.0,1836.0,1456.0,3746787328.0,422789120.0,10520993792.0,10632728576.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,676.0,280.0,198.0,278.0,1166.0,768.0,3746091008.0,422789120.0,10520985600.0,10633433088.0,0.0,0.0
0.062,0.0,99.938,0.0,0.0,0.0,624.0,0.0,1014.0,17994.0,2714.0,36246.0,3745746944.0,422789120.0,10520985600.0,10633777152.0,0.0,0.0
0.688,0.563,98.436,0.313,0.0,0.0,436.0,0.0,10470.0,8018.0,20440.0,19592.0,3751886848.0,422793216.0,10520985600.0,10627633152.0,0.0,106496.0
0.063,0.125,99.812,0.0,0.0,0.0,564.0,0.0,2436.0,2766.0,4954.0,6096.0,3750592512.0,422793216.0,10521001984.0,10628911104.0,0.0,0.0
0.062,0.0,99.938,0.0,0.0,0.0,438.0,0.0,938.0,492.0,1926.0,2316.0,3750600704.0,422793216.0,10521001984.0,10628902912.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,596.0,212.0,4836.0,65465.0,8884.0,131174.0,3750584320.0,422793216.0,10521001984.0,10628919296.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,464.0,0.0,366.0,492.0,1342.0,1632.0,3750449152.0,422793216.0,10521001984.0,10629054464.0,0.0,0.0
0.062,0.062,99.750,0.125,0.0,0.0,384.0,0.0,524.0,428.0,1084.0,1160.0,3749908480.0,422793216.0,10521001984.0,10629595136.0,0.0,36864.0
0.188,0.125,99.687,0.0,0.0,0.0,192.0,0.0,204.0,492.0,1360.0,2822.0,3749400576.0,422793216.0,10521001984.0,10630103040.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,542.0,106.0,1494.0,906.0,2830.0,5098.0,3749511168.0,422793216.0,10521001984.0,10629992448.0,0.0,0.0
0.063,0.0,99.937,0.0,0.0,0.0,350.0,106.0,1546.0,1180.0,3266.0,2674.0,3749384192.0,422793216.0,10521001984.0,10630119424.0,0.0,0.0
0.0,0.062,99.938,0.0,0.0,0.0,590.0,92.0,2334.0,221694.0,5102.0,435092.0,3748937728.0,422793216.0,10521088000.0,10630479872.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,384.0,0.0,846.0,492.0,1662.0,1632.0,3748700160.0,422793216.0,10521198592.0,10630606848.0,0.0,0.0
0.0,0.063,99.875,0.063,0.0,0.0,618.0,106.0,2546.0,2118.0,4956.0,4578.0,3748564992.0,422793216.0,10521198592.0,10630742016.0,0.0,16384.0
0.0,0.063,99.937,0.0,0.0,0.0,128.0,0.0,302.0,492.0,988.0,1992.0,3748438016.0,422793216.0,10521198592.0,10630868992.0,0.0,0.0
0.063,0.0,99.937,0.0,0.0,0.0,554.0,106.0,562.0,428.0,1542.0,3786.0,3748167680.0,422793216.0,10521198592.0,10631139328.0,0.0,0.0
0.0,0.125,99.875,0.0,0.0,0.0,372.0,0.0,3722.0,391030.0,9386.0,967896.0,3747770368.0,422793216.0,10521264128.0,10631471104.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,756.0,106.0,4216.0,205320.0,5964.0,207598.0,3747356672.0,422793216.0,10521264128.0,10631884800.0,0.0,0.0
0.062,0.125,99.688,0.125,0.0,0.0,362.0,0.0,558.0,492.0,1731.0,2502.0,3747364864.0,422793216.0,10521264128.0,10631876608.0,0.0,16384.0
0.0,0.063,99.937,0.0,0.0,0.0,384.0,0.0,851.0,428.0,1339.0,1160.0,3747098624.0,422793216.0,10521268224.0,10632138752.0,0.0,0.0
0.062,2.062,97.875,0.0,0.0,0.0,468.0,212.0,4262.0,65230.0,8354.0,131130.0,3746955264.0,422793216.0,10521268224.0,10632282112.0,0.0,0.0
0.0,5.688,94.312,0.0,0.0,0.0,320.0,0.0,666.0,498.0,2128.0,7230.0,3746570240.0,422793216.0,10521268224.0,10632667136.0,0.0,0.0
0.062,4.875,95.062,0.0,0.0,0.0,128.0,68.0,1425.0,492.0,2158.0,2608.0,3746435072.0,422793216.0,10521268224.0,10632802304.0,0.0,0.0
0.0,0.125,99.875,0.0,0.0,0.0,320.0,0.0,498.0,1720.0,1100.0,4658.0,3746189312.0,422793216.0,10521268224.0,10633048064.0,0.0,0.0
0.063,0.0,99.875,0.063,0.0,0.0,594.0,106.0,418.0,492.0,1444.0,1738.0,3746172928.0,422793216.0,10521268224.0,10633064448.0,0.0,237568.0
0.0,0.062,99.938,0.0,0.0,0.0,490.0,106.0,562.0,428.0,1248.0,1986.0,3746189312.0,422793216.0,10521268224.0,10633048064.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,384.0,0.0,366.0,492.0,1216.0,1272.0,3746148352.0,422793216.0,10521268224.0,10633089024.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,384.0,0.0,1162.0,428.0,2234.0,1160.0,3745931264.0,422793216.0,10521268224.0,10633306112.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,384.0,0.0,204.0,492.0,974.0,1272.0,3745939456.0,422793216.0,10521268224.0,10633297920.0,0.0,0.0
0.0,0.062,99.750,0.187,0.0,0.0,698.0,174.0,622.0,428.0,1576.0,1334.0,3745685504.0,422793216.0,10521268224.0,10633551872.0,0.0,28672.0
0.063,0.0,99.937,0.0,0.0,0.0,414.0,106.0,944.0,492.0,2564.0,2974.0,3745681408.0,422793216.0,10521272320.0,10633551872.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,578.0,92.0,916.0,428.0,1900.0,1684.0,3745554432.0,422793216.0,10521272320.0,10633678848.0,0.0,0.0
