   0     0|  1   0  98   1   0   0
 983B  557B|  1   2  97   0   0   0
3566B 1570B|  2   2  96   0   0   0
2190B 1760B|  2   2  96   0   0   0
1242B 2772B|  3   3  95   0   0   0
1216B   34000|  2   3  95   0   0   0
4465B  193000|  3   3  93   1   0   0
4188B  408000|  2   3  96   0   0   0
4082B  815000|  2   2  96   0   0   0
6262B 1370000|  2   2  95   0   0   0
  11000 2185000|  2   2  96   0   0   0
  16000 2854000|  2   3  96   0   0   0
  16000 2544000|  2   2  95   1   0   0
  11000 2001000|  2   2  96   0   0   0
  13000 2335000|  2   2  96   0   0   0
  15000 2335000|  3   2  96   0   0   0
  14000 2302000|  3   2  95   0   0   0
  14000 2338000|  3   2  95   0   0   0
  16000 2364000|  2   2  94   1   0   0
  16000 2402000|  3   3  94   0   0   0
  13000 2335000|  3   3  94   0   0   0
  14000 2535000|  3   2  95   0   0   0
  16000 2668000|  3   2  95   0   0   0
  16000 3002000|  2   1  96   0   0   0
  23000 3402000|  2   2  95   1   0   0
  26000 4069000|  2   2  96   0   0   0
  30000 4670000|  2   2  96   0   0   0
  32000 5737000|  2   2  96   0   0   0
  34000 6337000|  3   2  95   0   0   0
  36000 8205000|  2   3  96   0   0   0
  41000 9673000|  2   4  93   1   0   0
  49000   11000000|  3   2  95   0   0   0
  57000   13000000|  3   3  94   0   0   0
  66000   12000000|  3   2  95   0   0   0
  49000   11000000|  3   3  94   0   0   0
  58000   13000000|  3   2  95   0   0   0
  59000   13000000|  3   3  93   1   0   0
  62000   14000000|  3   2  95   0   0   0
  63000   14000000|  3   3  95   0   0   0
  67000   13000000|  3   2  96   0   0   0
  51000   10000000|  3   2  95   0   0   0
  52000   11000000|  4   3  93   0   0   0
  54000   11000000|  3   2  94   1   0   0
  59000   12000000|  2   2  95   0   0   0
  54000   12000000|  3   2  96   0   0   0
  56000   12000000|  2   2  96   0   0   0
  56000   12000000|  3   3  94   0   0   0
  60000   12000000|  3   3  94   0   0   0
  56000   12000000|  3   2  94   1   0   0
  58000   12000000|  2   2  96   0   0   0
  58000   12000000|  4   2  94   0   0   0
  54000   12000000|  4   2  94   0   0   0
  56000   12000000|  3   4  94   0   0   0
  59000   13000000|  3   2  95   0   0   0
  65000   11000000|  2   2  95   1   0   0
  46000   10000000|  3   2  95   0   0   0
  51000   11000000|  3   1  96   0   0   0
  49000 7892000|  2   3  96   0   0   0
  39000 8739000|  3   3  94   0   0   0
  43000 9139000|  2   2  96   0   0   0
  46000 9406000|  3   4  93   1   0   0
  42000 9406000|  3   2  95   0   0   0
  44000 9631000|  3   2  95   0   0   0
  46000 9381000|  3   2  95   0   0   0
  51000 8079000|  2   2  96   0   0   0
