   0     0|  1   1  95   4   0   0
  30000 2300B|  5   4  69  23   0   0
1918000   23000|  3   3  70  24   0   0
1615000   19000|  3   3  71  23   0   0
 366000 7182B|  3   2  71  24   0   0
4586000   51000|  5   2  70  23   0   0
 252000  132000|  5   2  69  25   0   0
  91000  248000|  3   3  71  24   0   0
  13000  568000|  9   8  69  14   0   0
  32000  915000|  5   4  69  22   0   0
6759000 2171000|  5   2  69  23   0   0
  13000000 4104000|  6   4  74  16   0   0
  89000 6207000|  5   5  69  21   0   0
1344000   10000000|  5   5  69  21   0   0
3901000 8324000|  4   3  70  23   0   0
 492000   10000000|  5   2  69  23   0   0
1195000 9698000|  5   3  69  23   0   0
 414000   11000000|  3   3  71  23   0   0
  65000 8369000|  5   3  68  24   0   0
  48000 8798000|  5   2  70  23   0   0
 131000 8177000|  4   4  69  23   0   0
  49000 9524000|  4   3  70  23   0   0
  50000 8761000|  4   3  70  23   0   0
 270000 9748000|  6   5  69  21   0   0
 215000 9076000|  5   2  69  24   0   0
 468000 9421000|  4   2  70  24   0   0
1157000 9569000|  4   3  70  23   0   0
1099000 8893000|  4   3  69  24   0   0
1380000 9694000|  4   3  70  23   0   0
 872000 7313000|  4   3  70  23   0   0
 137000 5423000|  4   2  70  23   0   0
 135000 5102000|  3   3  71  23   0   0
4960000 5906000|  5   4  70  21   0   0
8953000 5630000|  4   3  91   2   0   0
  35000 6099000|  4   3  93   0   0   0
  33000 5709000|  4   3  93   0   0   0
  34000 6071000|  3   1  95   1   0   0
  34000 5804000|  5   2  81  12   0   0
  35000 6038000|  4   3  69  24   0   0
  35000 6067000|  4   2  71  24   0   0
  33000 5930000|  4   2  71  23   0   0
  35000 6429000|  4   3  70  23   0   0
  39000 6257000|  5   2  69  23   0   0
  42000 7052000|  4   3  70  23   0   0
  40000 7034000|  5   2  69  24   0   0
  43000 8281000|  3   3  70  24   0   0
  48000 8675000|  4   2  71  23   0   0
  55000   10000000|  4   3  70  23   0   0
  60000 8138000|  4   2  70  25   0   0
  47000 8361000|  5   2  70  23   0   0
  50000 8703000|  4   3  69  24   0   0
  51000 9570000|  4   3  69  24   0   0
  53000 9891000|  4   3  70  23   0   0
  57000 7327000|  5   2  87   6   0   0
  46000 6646000|  4   3  92   1   0   0
  39000 3761000|  4   3  93   0   0   0
