[7l--net/eth0- ----total-cpu-usage----
 recv  send|usr sys idl wai hiq siq
   0     0 |  0   0  99   0   0   0
 622B  696B|  4   2  93   1   0   0
8648B 9702B|  3   3  94   0   0   0
  11k 7796B|  4   2  94   0   0   0
5104B 8644B|  4   2  95   0   0   0
3474B   12k|  3   2  95   0   0   0
1652B 1630B|  3   3  93   1   0   0
1634B  138B|  5   5  90   0   0   0
4328B  295k|  5   3  92   0   0   0
6446B  878k|  6   3  92   0   0   0
  11k 2002k|  5   3  92   0   0   0
  17k 3211k|  4   3  92   1   0   0
  27k 6241k|  7   6  87   0   0   0
  40k 9479k|  6   5  89   0   0   0
  72k   17M|  7  12  81   0   0   0
  99k   25M|  6   4  90   0   0   0
 152k   42M|  7   4  89   0   0   0
 224k   53M|  8   4  87   1   0   0
 225k   54M|  8  13  80   0   0   0
 234k   61M|  8  22  69   0   0   1
 258k   60M|  8  17  74   0   0   1
 242k   61M|  6   7  86   0   0   0
 253k   64M|  7  12  81   0   0   0
 269k   67M|  9  21  69   1   0   1
 262k   67M|  8  15  75   0   0   1
 278k   71M|  9   7  84   0   0   0
 270k   68M|  7   8  85   0   0   0
 310k   67M|  6  12  82   0   0   1
 245k   59M|  8  10  82   0   0   1
 271k   65M|  8   3  88   1   0   0
 247k   62M|  8   5  86   0   0   1
 271k   68M|  8   6  86   0   0   0
 258k   66M|  8   6  86   0   0   0
 278k   71M|  8  12  80   0   0   0
 275k   71M|  7   8  85   0   0   0
 293k   76M|  8   6  84   1   0   1
 300k   78M|  8   7  85   0   0   0
 327k   83M|  6   5  88   0   0   1
 336k   88M|  9  30  60   0   0   2
 360k   94M|  7  28  63   0   0   2
 371k   93M|  9  22  66   0   0   2
 364k   98M|  9  15  74   1   0   2
 397k  107M|  8  11  80   0   0   1
 420k  105M|  9  26  63   0   0   2
 409k  109M| 10  18  71   0   0   1
 460k  102M|  9  26  63   0   0   2
 354k   84M|  7  12  81   0   0   1
 331k   87M|  9  22  66   1   0   1
 352k   91M|  8  22  69   0   0   1
 365k   93M| 18  21  60   0   0   2
 387k   95M| 33  26  38   0   0   3
 433k   82M| 34   7  58   0   0   1
 299k   75M| 19  10  70   0   0   1
 294k   73M| 27   5  63   4   0   1
 256k   63M| 33   7  59   0   0   2
 252k   65M| 51   7  40   0   0   2
 262k   66M| 66   9  23   0   0   2
 276k   66M| 30   4  64   0   0   2
 195k   41M|  9   3  85   2   0   0
 101k   24M|  4   2  94   0   0   0
  67k   15M| 17   2  81   0   0   0
  62k   15M| 29   3  68   0   0   0
  64k   15M| 29   1  69   0   0   0
  63k   15M| 10   3  85   2   0   0
  50k 8610k|  5   4  90   1   0   0
7698B 8658B|  2   2  96   0   0   0
9776B 6360B|  3   2  95   0   0   0
5848B   10k|  2   2  95   0   0   0
3944B   11k|  3   2  94   2   0   0
1243B 1948B|  2   2  96   0   0   0
 128B    0 |  4   5  92   0   0   0
4384B  264k|  4   3  93   0   0   0
8639B 1007k|  3   3  94   0   0   0
  12k 2132k|  5   3  93   0   0   0
  18k 3570k|  4   2  93   1   0   0
  33k 7044k|  4   2  93   0   0   0
  52k   12M|  4   3  92   0   0   0
  83k   20M|  5   4  91   0   0   0
 119k   31M|  5   4  91   0   0   0
 178k   47M|  7   5  88   0   0   0
 240k   65M|  7   6  86   1   0   0
 320k   85M|  6   8  85   0   0   1
 387k  101M|  7   8  85   0   0   0
 492k  101M|  7   7  85   0   0   0
 396k   73M|  6   6  88   0   0   0
 323k   68M|  7   6  87   0   0   0
 299k   60M|  6   5  88   1   0   0
 254k   55M|  5   6  88   0   0   0
 265k   57M|  5   5  90   0   0   0
 253k   56M|  7   6  87   0   0   0
 268k   57M|  7   4  89   0   0   0
 256k   53M|  5   5  89   0   0   0
 245k   51M|  4   3  91   1   0   0
 224k   49M|  4   5  91   0   0   0
 228k   50M|  6   5  89   0   0   0
 226k   50M|  6   4  90   0   0   0
 236k   49M|  6   5  89   0   0   0
 217k   44M|  6   4  89   0   0   0
 214k   42M|  6   5  88   1   0   0
 194k   40M|  7   4  89   0   0   0
 193k   38M|  6   4  91   0   0   0
 187k   38M|  5   5  90   0   0   0
 194k   38M|  6  11  82   0   0   1
