   0     0|  1   1  94   4   0   0
1223B  184B|  4   2  94   0   0   0
2885B 1781B|  4   3  93   0   0   0
3265B 3235B|  5   3  91   2   0   0
4433B 3545B|  4   3  93   0   0   0
9043B 6493B|  4   4  92   0   0   0
5345B  117000|  6   3  91   0   0   0
7839B  414000|  6   4  90   0   0   0
  10000  869000|  7   4  89   0   0   0
  12000 1387000|  7   4  88   1   0   0
  19000 2989000|  6   4  89   0   0   0
  25000 4494000|  5   6  89   0   0   0
  39000 8726000|  6   6  88   0   0   0
  50000   12000000|  8   6  86   0   0   0
  83000   21000000|  8   5  86   0   0   1
 112000   30000000|  8   5  85   1   0   1
 195000   52000000|  8   8  84   0   0   0
 226000   59000000| 12   7  81   0   0   0
 318000   88000000|  9   8  82   0   0   1
 563000  104000000| 11   6  83   0   0   1
 395000   63000000|  7   6  86   0   0   0
 271000   69000000|  8   7  84   1   0   0
 276000   71000000|  9   7  83   0   0   1
 307000   79000000| 11   8  81   0   0   0
 309000   82000000|  9   7  83   0   0   1
 347000   90000000| 10   8  82   0   0   1
 364000   97000000| 10   9  80   0   0   1
 406000  109000000| 10   7  81   1   0   1
 485000  102000000| 10   9  81   0   0   1
 390000  102000000| 11   8  80   0   0   1
 410000  108000000| 10  53  33   0   0   5
 472000   95000000|  8  47  42   0   0   2
 327000   86000000| 10  23  66   0   0   2
 397000  107000000| 10  15  73   1   0   1
 558000   79000000| 10  11  77   0   0   1
 273000   71000000|  9   8  83   0   0   1
 315000   83000000|  8   8  83   0   0   1
 344000   89000000|  9  10  80   0   0   1
 362000   94000000|  8  11  80   0   0   1
 365000   95000000|  8  23  66   1   0   2
 374000   98000000| 12  10  77   0   0   1
 375000   98000000| 12  11  76   0   0   1
 393000   99000000| 37  17  44   0   0   2
 399000  100000000| 35  18  44   0   0   3
 404000  101000000| 31   9  57   0   0   3
 430000   67000000|  7   7  84   2   0   1
 246000   60000000|  7   5  87   0   0   1
 182000   47000000|  7   7  85   0   0   1
 186000   48000000| 18   7  74   0   0   1
 203000   52000000| 34   8  56   0   0   2
 202000   52000000| 35   8  55   1   0   1
   0     0| 15   7  77   0   0   1
   0     0|  9   5  86   0   0   1
   0     0|  8   6  86   0   0   0
   0     0| 28   6  65   0   0   1
   0     0| 35   7  57   0   0   1
   0     0| 33   8  56   2   0   1
1398000  359000000| 10   6  84   0   0   1
 234000   63000000|  8   6  85   0   0   1
 223000   56000000|  9   6  85   0   0   0
 248000   66000000| 11   6  83   0   0   0
 287000   77000000|  9   7  83   0   0   1
 347000   94000000| 11   8  79   1   0   1
 520000  105000000|  9   9  81   0   0   1
 454000   84000000|  9   6  84   0   0   1
 344000   91000000|  9   8  83   0   0   0
 370000   97000000|  8  10  82   0   0   1
 386000  101000000| 12   8  80   0   0   1
 398000  105000000| 28   9  60   1   0   1
 405000  107000000| 10   6  82   0   0   2
 349000   85000000|  9   7  85   0   0   0
 291000   77000000|  7   7  85   0   0   0
 303000   80000000|  7   7  85   0   0   0
 308000   80000000|  9   6  84   0   0   1
 339000   86000000|  9   8  81   2   0   1
 354000   90000000|  9   8  82   0   0   1
 395000  100000000| 10  13  76   0   0   1
 408000  111000000|  9  18  71   0   0   2
 586000   89000000|  9  25  64   0   0   3
 344000   92000000| 28  13  57   0   0   2
 362000   98000000| 36  12  51   0   0   1
 389000  105000000| 36  15  47   0   0   2
 403000  109000000| 36  12  51   0   0   2
 425000  105000000| 13  12  74   0   0   1
 390000  101000000|  8   8  83   0   0   1
 372000   96000000|  9   6  83   1   0   1
 368000   98000000|  9   7  83   0   0   1
 375000   99000000|  9   7  84   0   0   0
 378000  100000000|  9   6  85   0   0   1
 381000  101000000|  8  14  78   0   0   0
 385000  102000000|  9   9  82   0   0   0
 391000  104000000| 33  26  36   1   0   3
 391000  104000000| 12  12  75   0   0   1
 363000   88000000| 22   9  69   0   0   1
 315000   81000000| 35   9  55   0   0   1
 334000   87000000| 50  13  35   0   0   2
 349000   92000000| 48  12  38   0   0   2
 377000   97000000| 33   7  56   1   0   2
 302000   78000000| 33   9  57   0   0   1
 329000   88000000| 34   7  57   0   0   2
 351000   92000000|  8   5  84   0   0   2
 329000   85000000|  6   6  87   0   0   1
 320000   89000000|  6   7  85   1   0   1
 376000  104000000|  6   6  87   0   0   0
 372000  100000000| 31   7  61   0   0   1
 378000  106000000| 30   7  61   0   0   2
 375000   87000000|  7   4  88   0   0   1
 234000   59000000|  4   5  91   0   0   0
 177000   49000000|  4   4  91   1   0   0
 173000   49000000|  5   4  91   0   0   0
 169000   46000000|  4   5  91   0   0   0
 131000   28000000|  4   4  91   0   0   0
