   0     0|  0   0  99   1   0   0
3221000   35000|  3   4   0  93   0   0
3414000   48000|  3   2   0  95   0   0
3625000  113000|  3   2   0  95   0   0
4076000   95000|  2   3   0  95   0   0
4219000   65000|  4   4   0  93   0   0
2905000  163000|  4   5   0  91   0   0
4023000  291000|  2   3   0  95   0   0
1706000  244000|  1   2   0  96   0   0
 334000   36000|  2   2   0  97   0   0
1265000   14000|  2   2   0  96   0   0
2022000  136000|  4   5   0  91   0   0
2317000 1268000|  4   3   0  93   0   0
2248000 2443000|  3   3   0  94   0   0
2398000 5012000|  4   3   0  93   0   0
2373000 8336000|  4   3   0  93   0   0
2655000   15000000|  4   3   0  93   0   0
2474000   18000000|  5   5   0  90   0   0
3079000   28000000|  6   4   0  90   0   0
3034000   35000000|  7   9   0  83   0   1
1492000   32000000|  5   3   0  92   0   0
3517000   35000000|  5   3   0  92   0   0
3420000   37000000|  5   5   0  90   0   0
4322000   35000000|  5   3   0  91   0   0
4444000   37000000|  5   8   0  87   0   0
3002000   37000000|  8   8   0  84   0   0
4768000   40000000|  7   5   0  87   0   0
7165000   39000000|  6   6   0  87   0   1
9217000   36000000|  6   5   0  88   0   0
  10000000   33000000|  5   7   0  87   0   1
8123000   37000000|  7   5   0  86   0   1
  11000000   37000000| 11   9   0  80   0   1
  13000000   42000000|  6   5   0  88   0   1
8370000   42000000|  4   5   0  91   0   0
 287000   35000000|  6   4   0  89   0   0
 927000   38000000|  5   5   0  90   0   1
3864000   42000000|  5   6   0  89   0   0
  11000000   45000000|  9   8   0  82   0   1
6105000   49000000|  8   8   0  83   0   1
  18000000   45000000|  6   4   0  90   0   0
  11000000   36000000|  6   8   0  85   0   1
1974000   39000000|  6   5   0  89   0   0
2847000   42000000|  5   4   0  90   0   1
 289000   46000000|  6   5   0  88   0   0
1624000   50000000|  6   6   0  87   0   1
4226000   56000000|  6   6   0  88   0   1
  14000000   61000000|  7  10   0  82   0   1
  20000000   70000000|  9  11   0  80   0   1
  13000000   79000000|  6   5   0  88   0   1
7707000   80000000|  9  11   0  78   0   1
6075000   76000000|  8   9   0  83   0   1
  16000000   78000000|  6  15   0  78   0   1
7321000   64000000|  7  14   0  80   0   0
 681000   63000000|  6  23   0  69   0   1
1618000   67000000|  5  11   0  83   0   1
2772000   62000000|  5  26   0  68   0   1
3123000   62000000|  7  33   0  57   0   2
3298000   62000000|  5  18   0  76   0   1
3169000   44000000|  6  28   0  64   0   2
2856000   44000000|  6  11   0  82   0   1
2379000   35000000|  4   3   0  92   0   0
1131000   30000000|  4   4   0  92   0   1
 456000   31000000|  6  18   0  75   0   1
1323000   30000000|  4   6   0  90   0   0
3091000   31000000|  5   5   0  90   0   0
3797000   33000000|  6   4   0  90   0   0
3331000   33000000|  5   8   0  87   0   0
2732000   36000000|  4   4   0  91   0   0
3021000   32000000|  5   3   0  92   0   0
3736000   36000000|  4  12   0  84   0   0
3657000   36000000|  5   9   0  85   0   1
3931000   40000000|  6   5   0  89   0   0
4024000   43000000| 20  11   0  68   0   1
2209000   47000000| 30   6   0  63   0   1
 489000   39000000| 31  12   0  56   0   2
2238000   42000000| 32  13   0  54   0   1
3984000   47000000| 32   8   0  59   0   1
4255000   51000000| 32   9   0  58   0   1
4472000   50000000| 33   9   0  56   0   2
4516000   52000000| 30  10   0  58   0   2
4950000   44000000| 17   4   0  78   0   1
5044000   43000000| 18   4   0  76   0   1
5859000   49000000| 29   6   0  64   0   1
6377000   53000000| 29   6   0  64   0   2
6521000   49000000| 32   6   0  61   0   1
1629000   45000000| 24   5   0  70   0   1
 466000   49000000|  4   3   0  93   0   0
 527000   49000000|  3   3   0  93   0   0
 751000   45000000|  3   3   0  93   0   0
1694000   48000000|  6   5   0  88   0   1
2563000   48000000| 20   6   0  72   0   2
4235000   41000000| 28   6   0  65   0   1
4256000   45000000|  3   4   0  92   0   0
   0     0|  6   8   0  86   0   0
   0     0|  3   3   0  93   0   0
   0     0|  3   3   0  93   0   0
   0     0| 20   4   0  75   0   1
   0     0| 29   4   0  66   0   1
   0     0| 29   3   0  67   0   1
   0     0|  4   2   0  94   0   0
  45000000  225000000|  6   6   0  88   0   0
1974000   18000000|  3   4   0  92   0   1
4666000   21000000|  6   6   0  88   0   0
4921000   23000000|  7   7   0  86   0   1
5525000   25000000|  4   3   0  92   0   0
5246000   25000000|  7   8   0  85   0   1
5764000   26000000|  4   4   0  91   0   0
5472000   29000000|  4   5   0  91   0   0
5428000   32000000|  4   4   0  91   0   0
1629000   36000000|  5   2   0  93   0   0
 662000   40000000|  4   3   0  93   0   0
2236000   44000000|  4   2   0  93   0   0
5174000   49000000|  4   3   0  93   0   0
6329000   42000000|  3   1   0  96   0   0
5919000   34000000| 40   7   0  51   0   2
3021000   37000000| 57   8   0  33   0   2
4693000   37000000| 44   4   0  50   0   2
7060000   40000000| 28   3   0  68   0   1
8959000   27000000| 28   3   0  67   0   2
8678000   27000000|  9   5   0  85   0   1
  11000000   25000000|  2   2   0  97   0   0
  11000000   18000000| 11   6   0  82   0   1
  12000000   19000000| 26   2   0  70   0   2
6882000   19000000| 29   5   0  65   0   1
6059000   19000000| 21   6   0  73   0   0
2261000   19000000|  4   5   0  90   0   1
7750000 7513000|  2   1   0  98   0   0
  13000000 6822000|  3   2   0  94   0   0
8197000 7632000|  3   6   0  91   0   0
  11000000 8355000|  1   2   0  97   0   0
  14000000 9182000|  2   2   0  96   0   0
  15000000   10000000|  4   4   0  92   0   0
3883000   11000000|  2   1   0  97   0   0
  11000000   11000000| 24   7   0  68   0   1
6137000   13000000| 26   1   0  72   0   1
8072000 9976000| 26   1   0  73   0   1
9262000   12000000|  8   1   0  90   0   1
  11000000 7863000|  2   1   0  97   0   0
9478000  180000|  5   6   0  88   0   0
7488000  256000|  2   2   0  95   0   0
6678000  351000|  2   1   0  96   0   0
8396000  195000|  2   1   0  97   0   0
  12000000  175000|  4   3   0  94   0   0
6394000  304000|  5   5   0  89   0   0
8058000  514000|  6   7   0  87   0   0
7384000  346000|  3   3   0  94   0   0
9528000  327000|  4   3   0  92   0   1
6703000  773000|  2   2   0  96   0   0
1675000  812000|  2   2   0  96   0   0
  45000  721000|  5   6   0  88   0   0
3515000 1668000|  5   4   0  91   0   1
5920000 3078000|  6   5   0  89   0   0
7834000 4681000|  6   4   0  90   0   0
9462000 8099000|  6   4   0  90   0   0
2567000   14000000|  4   3   0  94   0   0
 253000   25000000|  4   3   0  92   0   0
 235000   34000000|  4   2   0  93   0   1
 366000   41000000|  4   3   0  92   0   0
 789000   53000000|  5   4   0  91   0   0
1788000   57000000|  4   4   2  89   0   1
2994000   67000000|  5   4   0  90   0   0
8335000   52000000|  8   5   0  86   0   1
  12000000   57000000|  6   4   0  90   0   0
 534000   60000000|  6   3   0  92   0   0
 514000   58000000|  4   4   0  91   0   0
 366000   41000000|  5   3   0  92   0   0
 388000   44000000|  4   2   0  93   0   1
 658000   43000000|  4   5   0  90   0   0
1542000   48000000|  5   4   0  90   0   1
3705000   49000000|  7   6   0  87   0   0
2233000   54000000|  7   5   0  88   0   0
4492000   56000000|  6   5   0  89   0   0
  12000000   62000000|  7   5   0  86   0   1
  13000000   53000000|  6   4   0  89   0   1
6692000   54000000|  5   4   0  90   0   1
6487000   56000000|  9   7   0  83   0   1
8068000   61000000|  6   6   0  88   0   0
  10000000   62000000|  6   6   0  88   0   1
6406000   56000000|  5   3   0  92   0   0
3113000   21000000|  4   3   0  93   0   0
9712000   20000000|  5   3   5  87   0   1
8644000   22000000|  5   6  16  72   0   0
7362000   22000000|  5   3   0  91   0   1
8778000   24000000|  7   5   0  88   0   1
9414000   25000000|  9   7   0  84   0   0
4969000   27000000|  8   7   0  85   0   1
6371000   31000000|  7   6   0  87   0   0
  10000000   36000000|  8   8   0  84   0   0
7510000   41000000|  7   6   0  86   0   1
  10000000   43000000|  7   4   0  89   0   1
  10000000   31000000|  6   5   0  89   0   0
4732000   39000000|  5   4   0  91   0   0
 760000   43000000|  7   5   0  88   0   0
1290000   47000000|  5   4   0  91   0   1
1488000   51000000|  7   4   0  88   0   0
1749000   52000000|  5   4   0  90   0   0
1473000   39000000|  6   4   0  90   0   0
1596000   41000000|  7   4   0  89   0   0
 936000   40000000|  5   3   0  91   0   0
 470000   45000000|  7   4   0  89   0   0
 639000   46000000|  6   4   0  89   0   0
1268000   49000000|  6   5   0  88   0   1
1915000   50000000|  6   4   0  89   0   0
2226000   49000000|  6   6   0  87   0   1
2183000   46000000|  5   5   0  89   0   0
3245000   45000000|  6   3   0  91   0   0
4120000   43000000|  6   5   0  89   0   0
4787000   44000000|  7   3   0  90   0   0
6560000   46000000|  6   4   0  89   0   0
7031000   47000000|  7   6   0  86   0   0
1554000   43000000|  6   4   0  90   0   0
 579000   44000000|  5  12   0  82   0   1
 789000   49000000|  5  10   0  85   0   0
1120000   46000000|  5   6   0  89   0   0
1019000   48000000|  6  23   0  70   0   2
2715000   50000000|  6  16   0  77   0   1
2341000   47000000|  4   9   0  86   0   1
1932000   41000000|  6   8   0  86   0   0
3859000   36000000|  6   4   0  89   0   0
7262000   38000000|  5   5   0  89   0   1
2812000   44000000|  6   8   0  85   0   1
3367000   43000000|  4   4   0  91   0   1
6133000   44000000|  6   6   0  88   0   0
6655000   36000000| 10   5   0  84   0   1
2371000   37000000| 31   8   0  61   0   1
 866000   39000000| 30   4   0  64   0   1
1497000   38000000| 32   7   0  60   0   1
2420000   44000000| 33  11   0  54   0   2
3474000   49000000| 32  13   0  54   0   2
3388000   41000000| 31   6   0  62   0   1
2992000   36000000| 33   7   0  58   0   2
2190000   41000000| 31  10   0  57   0   1
3254000   43000000| 31   6   0  62   0   1
4032000   46000000| 31  18   0  48   0   2
