#vms r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 avg
1 3730.72 1938.77 1938.25 5405.65 3666.41 4895.14 6733.14 3430.60 4998.17 2001.52 3873.84
2 2270.68 1839.11 1302.89 1850.93 1657.71 2791.69 1702.49 1863.52 2091.67 1285.16 1865.59
4 1643.37 624.36 749.54 705.11 1171.61 683.72 483.16 980.57 1197.57 428.59 866.76
6 947.14 502.76 431.17 542.21 1327.35 554.39 403.00 809.71 1055.39 304.86 687.80
8 740.57 329.79 790.64 674.02 1560.95 565.14 443.29 1443.16 661.69 416.09 762.53
10 735.11 342.11 530.29 635.66 2187.24 594.82 580.79 1586.29 626.21 296.89 811.54
12 411.06 280.33 684.51 509.58 1696.04 587.68 304.41 994.64 768.95 264.06 650.13
14 598.93 290.08 946.42 509.19 1100.37 541.59 662.33 952.28 711.51 255.74 656.84
16 684.38 275.90 2060.86 436.40 2100.87 630.44 774.55 937.88 386.14 271.10 855.85
18 490.80 489.01 1955.47 560.15 1745.81 651.14 632.98 560.10 727.84 261.07 807.44
20 613.95 358.46 1048.90 464.18 709.11 654.95 411.21 305.28 317.24 268.26 515.15
40 371.46 290.73 608.20 632.38 451.55 906.09 413.22 507.82 631.86 906.62 571.99
