   0     0|  0   0 100   0   0   0
 851B  557B|  4   3  91   1   0   0
2528B 1634B|  2   2  96   0   0   0
1563B 1492B|  3   2  95   0   0   0
1112B 1092B|  3   3  94   0   0   0
 982B 8222B|  3   3  94   0   0   0
2360B  184000|  4   3  92   1   0   0
7474B  620000|  4   3  93   0   0   0
  31000 3021000|  3   3  95   0   0   0
  59000 8060000|  5   3  92   0   0   0
  69000   16000000|  4   2  94   0   0   0
  76000   16000000|  4   3  94   0   0   0
  88000   18000000|  5   3  91   1   0   0
  92000   18000000|  5   3  92   0   0   0
 113000   17000000|  5   6  89   0   0   0
 119000   15000000|  5   6  89   0   0   0
7587B  264000|  4   5  91   0   0   0
  10000  574000|  3   2  95   0   0   0
  12000  801000|  3   2  95   1   0   0
  12000 1801000|  4   2  94   0   0   0
  16000 2735000|  4   2  93   0   0   0
  31000 4908000|  4   3  93   0   0   0
  46000 7348000|  3   3  94   0   0   0
 103000   12000000|  5   2  93   0   0   0
 102000   13000000|  5   7  87   1   0   0
  87000   15000000|  5   3  92   0   0   0
  84000   15000000|  5   3  92   0   0   0
 103000   17000000|  5   7  88   0   0   0
  94000   15000000|  3   3  94   0   0   0
 107000   18000000|  4   3  93   0   0   0
  95000   17000000|  5   7  87   1   0   0
 124000   18000000|  5   5  89   0   0   0
 114000   18000000|  4   5  92   0   0   0
  99000   17000000|  4   3  93   0   0   0
 102000   18000000|  4   6  90   0   0   0
  98000   17000000|  5   6  89   0   0   0
  92000   18000000|  4   4  91   1   0   0
  94000   17000000|  5   2  93   0   0   0
 103000   18000000|  5   2  93   0   0   0
 111000   17000000|  5   4  91   0   0   0
 116000   18000000|  4   3  93   0   0   0
 101000   16000000|  6  10  85   0   0   0
 107000   18000000|  4   7  88   1   0   0
  99000   16000000|  6   4  90   0   0   0
  78000   18000000|  4   4  91   0   0   0
  72000   17000000|  9   2  89   0   0   0
  76000   17000000| 31   3  66   0   0   0
  78000   17000000| 30   3  66   0   0   1
  74000   17000000| 12   4  81   3   0   1
  25000 2518000|  5   3  91   1   0   0
4646B 3372B|  3   2  95   0   0   0
2644B 3326B|  4   1  95   0   0   0
1824B 1884B|  3   2  95   0   0   0
1392B 4270B|  4   2  95   0   0   0
2912B  102000|  4   3  92   2   0   0
6970B  563000|  3   3  94   0   0   0
  42000 3140000|  5   2  93   0   0   0
 135000   11000000|  5   2  93   0   0   0
 189000   27000000|  5   3  92   0   0   0
 271000   29000000|  5   3  92   0   0   0
  98000 4870000|  5   2  92   1   0   0
5078B  280000|  5   2  94   0   0   0
9906B  597000|  4   2  94   0   0   0
  15000 1087000|  4   2  95   0   0   0
  22000 2228000|  3   3  94   0   0   0
  34000 3279000|  4   2  94   0   0   0
  66000 6994000|  5   2  92   1   0   0
  75000 9993000|  4   2  94   0   0   0
 167000   19000000|  5   3  92   0   0   0
 185000   23000000|  5   2  93   0   0   0
 188000   29000000|  4   3  92   0   0   0
 191000   27000000|  5   3  92   0   0   0
 180000   25000000|  4   2  93   1   0   0
 117000   17000000|  5   2  93   0   0   0
 141000   21000000|  5   4  92   0   0   0
 151000   23000000|  5   3  92   0   0   0
 173000   27000000|  5   3  92   0   0   0
 191000   29000000|  5   3  92   0   0   0
 196000   27000000|  5   3  91   1   0   0
 192000   30000000|  5   5  90   0   0   0
 208000   27000000|  6   8  86   0   0   0
 227000   31000000|  6   4  90   0   0   0
 222000   28000000|  5  11  84   0   0   0
 189000   32000000|  4   5  91   0   0   0
 141000   28000000|  5   3  92   1   0   0
 126000   31000000|  5   2  93   0   0   0
 118000   29000000|  6   3  91   0   0   0
 124000   31000000|  5   3  92   0   0   0
 125000   30000000|  5   3  92   0   0   0
 136000   30000000|  6   4  90   0   0   0
 131000   31000000|  4   2  93   1   0   0
 126000   30000000|  5   4  91   0   0   0
 134000   32000000|  6   2  92   0   0   0
 129000   30000000|  5   5  90   0   0   0
 143000   34000000|  5   2  92   0   0   0
 155000   32000000|  4   3  93   0   0   0
 198000   36000000| 29   5  65   1   0   1
 210000   33000000| 31   6  62   0   0   1
 218000   25000000| 31   6  63   0   0   1
 164000   17000000| 31   4  65   0   0   0
 212000   18000000| 31   5  64   0   0   0
 228000   18000000| 31   3  65   0   0   1
  59000 3051000| 30   2  67   1   0   0
   0     0| 12   3  85   0   0   0
   0     0|  5   2  93   0   0   0
   0     0|  4   3  94   0   0   0
   0     0|  3   2  95   0   0   0
   0     0|  3   2  95   0   0   0
   0     0|  3   2  93   2   0   0
   0     0|  3   2  95   0   0   0
   0     0|  3   2  95   0   0   0
   0     0|  4   3  94   0   0   0
   0     0|  3   2  95   0   0   0
   0     0|  3   3  94   0   0   0
   0     0|  5   2  92   1   0   0
   0     0| 20   2  78   0   0   0
   0     0| 30   2  68   0   0   0
   0     0| 30   3  67   0   0   0
   0     0| 30   3  67   0   0   0
   0     0| 30   2  68   0   0   0
   0     0| 30   2  67   1   0   0
 967000   96000000|  7   2  90   0   0   0
  57000 6501000|  4   3  92   1   0   0
5314B 2726B|  5   3  91   2   0   0
8698B 6280B|  3   3  94   0   0   0
4432B 5968B|  3   3  94   0   0   0
5180B 3768B|  3   2  93   2   0   0
