[7l-net/total-
 recv  send
   0     0 
1180B  894B
2691B 2463B
4164B 2854B
  12k 7958B
2701B 4650B
2286B   36k
2318B  242k
3456B  516k
4764B  919k
8266B 1694k
  15k 3316k
  23k 5587k
  28k 5095k
  23k 4540k
  27k 6243k
  32k 7114k
  34k 7551k
  35k 7959k
  35k 7961k
  32k 5830k
  26k 4810k
  30k 5308k
  28k 4292k
  24k 4366k
  26k 3565k
  20k 3828k
  23k 4268k
  22k 4351k
  22k 4334k
  22k 4368k
  23k 4353k
  23k 4303k
  21k 4501k
  20k 4756k
  24k 5283k
  28k 5875k
  32k 6957k
  39k 8206k
  44k 9575k
  49k   11M
  56k   13M
  67k   16M
  75k   20M
  86k   17M
  68k   13M
  68k   17M
  81k   20M
  82k   15M
  57k   12M
  61k   12M
  51k 8892k
  52k 7864k
  38k 5268k
  26k 5754k
  25k 5810k
  23k 5804k
  24k 5868k
  26k 5779k
  25k 3985k
  18k 3530k
  21k 4690k
  23k 5356k
  26k 5695k
  25k 5759k
  24k 5873k
  24k 5801k
  25k 5873k
  27k 5935k
  25k 5933k
  27k 6259k
  30k 6520k
  31k 6845k
  34k 7562k
  38k 8340k
  40k 9445k
  49k   11M
  54k   12M
  64k   14M
  76k   15M
  65k   11M
  58k   11M
  59k 6791k
  30k 4144k
  22k 4436k
  23k 4691k
  23k 4899k
  25k 5041k
  28k 5131k
  28k 5023k
  29k 5027k
  27k 5104k
  27k 5417k
  28k 5816k
  29k 6478k
  34k 7303k
  37k 8525k
  43k 9995k
  49k   12M
  58k   13M
  60k   10M
  59k 7165k
  37k 6065k
  33k 6518k
  26k 4475k
  24k 5358k
  27k 6180k
  30k 6618k
  29k 6592k
  29k 6922k
  31k 7225k
  33k 5712k
  24k 4189k
  22k 5601k
  26k 6348k
  28k 6561k
  26k 5102k
  21k 3423k
  21k 4818k
  22k 5149k
  23k 5619k
  25k 5833k
  26k 5803k
  28k 5825k
  30k 5851k
  27k 5840k
  25k 5810k
  25k 5992k
  28k 6488k
  29k 7005k
  32k 7758k
  37k 8599k
  42k 8826k
  37k 6337k
  27k 6909k
  32k 8276k
  35k 9186k
  47k 9552k
  41k 6760k
  31k 6706k
  33k 7691k
  33k 7891k
  32k 8276k
  38k 7254k
  33k 5340k
  25k 6160k
  28k 5095k
  19k 3517k
  19k 4695k
  22k 5205k
  24k 5329k
  27k 5748k
  27k 5797k
  25k 5738k
  26k 5829k
  28k 5822k
  28k 5871k
  26k 5966k
  28k 6321k
  32k 6911k
  34k 8009k
  38k 7981k
  35k 5700k
  26k 6114k
  32k 7364k
  35k 8210k
  36k 8766k
  38k 9165k
  42k 9446k
  43k 9409k
  42k 9461k
  40k 9333k
  41k 9519k
  39k 9524k
  41k 9584k
  45k   10M
  46k   10M
  47k   11M
  47k   12M
  53k   13M
  56k   14M
  62k   16M
  73k   18M
  85k   21M
  92k   19M
  72k   14M
  63k   16M
  79k   17M
  75k   13M
  53k   13M
  67k   13M
  59k 9618k
  49k   11M
  56k   11M
  46k 7935k
  39k 7164k
  35k 5913k
  31k 6819k
  32k 7198k
  43k 7255k
  32k 5041k
  24k 4918k
  27k 5668k
  29k 6128k
  31k 6393k
  32k 6553k
  32k 6557k
  31k 6591k
  32k 6589k
  31k 6460k
  29k 6456k
  33k 5287k
  27k 3037k
  15k 3021k
  14k 2956k
  15k 2099k
  12k 1943k
  13k 2530k
  15k 2917k
  15k 2960k
  14k 2935k
  18k 3036k
  14k 3033k
  17k 3133k
  15k 3181k
  16k 3481k
  20k 3771k
  27k 4146k
  23k 4913k
  25k 5874k
  30k 7100k
  39k 7792k
  42k 6307k
  34k 6718k
  38k 7618k
  42k 7608k
  41k 5556k
  27k 3438k
  16k 1857k
  11k 1556k
9634B 1590k
9892B 1694k
9096B 1805k
9618B 1692k
  10k 1790k
8962B 1824k
  10k 2096k
  12k 2235k
  13k 2576k
  15k 3193k
  16k 3018k
  12k 2024k
  11k 2537k
  14k 3220k
  17k 3691k
  16k 3651k
  16k 3586k
  16k 3652k
  15k 3718k
  17k 3971k
  21k 4370k
  21k 4365k
  20k 4504k
  23k 4935k
  26k 5622k
  28k 6323k
  31k 7482k
  36k 8865k
  41k 7468k
  33k 5848k
  33k 7682k
  37k 8698k
  42k 9552k
  43k 9915k
  42k   10M
  42k   10M
  44k   10M
  49k 9761k
  42k 6815k
  30k 4807k
  22k 4432k
  28k 4078k
  19k 3597k
  20k 4393k
  21k 4542k
  21k 4853k
  24k 5055k
  25k 5115k
  25k 5092k
  26k 5045k
  25k 5135k
  25k 5083k
  27k 5616k
  29k 6109k
  31k 6756k
  34k 7653k
  44k 9021k
  51k   10M
  54k   12M
  59k   11M
  44k 8258k
  44k   11M
  50k   12M
  53k   13M
  56k   14M
  58k   14M
  58k   14M
  56k   14M
  60k   15M
  68k   15M
  69k   14M
  59k 9631k
  38k 9448k
  47k 8221k
  36k 6738k
  34k 8280k
  38k 8798k
  41k 9457k
  43k 9524k
  43k 9394k
  42k 8442k
  35k 5838k
  31k 5385k
  28k 4598k
  24k 5026k
  27k 5351k
  27k 3916k
  21k 4026k
  22k 4465k
  22k 4436k
  25k 4825k
  29k 5088k
  28k 5114k
  30k 5132k
  28k 5023k
  27k 5054k
  28k 5332k
  30k 5748k
  32k 6296k
  34k 7234k
  39k 8204k
  43k 9709k
  49k   11M
  56k   13M
  68k   14M
  63k   10M
  48k   11M
  59k 9982k
  44k 8164k
  46k   10M
  48k   10M
  50k   11M
  55k   11M
  58k   11M
  57k   11M
  57k   11M
  56k   11M
  55k   11M
  53k   11M
  54k   12M
  56k   12M
  60k   13M
  62k   13M
  68k   14M
  72k   16M
  77k   17M
  83k   16M
  69k   12M
  68k   13M
  60k   10M
  50k   12M
  56k   12M
  50k 7384k
  29k 4162k
  21k 4370k
  22k 4691k
  24k 5022k
  24k 5119k
  24k 5027k
  25k 5025k
  26k 5088k
  25k 5121k
  23k 5154k
  24k 5474k
  29k 5995k
  31k 5535k
  25k 4088k
  22k 4880k
  27k 5537k
  31k 6490k
  32k 6483k
  29k 6526k
  34k 6461k
  30k 4382k
  21k 4143k
  26k 5214k
  29k 5932k
  30k 6230k
  29k 4670k
  23k 4192k
  25k 5086k
  26k 5258k
  27k 5508k
  32k 5878k
  32k 5749k
  32k 5585k
  30k 4249k
  22k 4039k
  24k 4888k
  24k 5148k
  23k 5219k
  28k 5591k
  30k 4366k
  21k 3735k
  21k 4627k
  25k 5064k
  25k 5174k
  25k 5543k
  28k 5752k
  30k 5794k
  31k 5806k
  28k 5838k
  28k 5741k
  28k 5972k
  27k 6210k
  32k 6760k
  34k 7561k
  38k 8549k
  45k 9182k
  39k 6459k
  29k 6404k
  36k 7399k
  34k 5546k
  27k 5872k
  30k 6704k
  32k 7040k
  35k 7179k
  33k 7240k
  31k 7240k
  30k 7307k
  30k 7310k
  31k 7304k
  33k 7563k
  34k 7825k
  37k 8277k
  39k 8932k
  42k 9969k
  47k   11M
  56k   11M
  49k 8240k
  32k 5043k
  26k 4987k
  26k 5721k
  27k 6192k
  31k 6521k
  31k 6527k
  29k 6521k
  30k 6593k
  29k 6454k
  28k 6527k
  28k 6652k
  34k 7107k
  33k 7430k
  37k 8083k
  40k 8992k
  43k   10M
  46k 8122k
  35k 6969k
  37k 6941k
  34k 5450k
  33k 6523k
  31k 7036k
  34k 7309k
  32k 7139k
  31k 5308k
  25k 4522k
  29k 5024k
  29k 4019k
  30k 4814k
  24k 5021k
  22k 5279k
  27k 5820k
  29k 5871k
  30k 5793k
  31k 5739k
  33k 5810k
  31k 5805k
  30k 6062k
  36k 6532k
  38k 6984k
  38k 7995k
  42k 6825k
  32k 5872k
  33k 5843k
  30k 4726k
  26k 5646k
  28k 6056k
  30k 6396k
  33k 6523k
  32k 6492k
  31k 6491k
  31k 6521k
  31k 6528k
  28k 6523k
  29k 6972k
  32k 7303k
  35k 7952k
  38k 8790k
  43k 9582k
  45k 7298k
  32k 4571k
  24k 4163k
  23k 5021k
  27k 5540k
  30k 5938k
  26k 5805k
  26k 5872k
  26k 5744k
  28k 5301k
  25k 3930k
  20k 3409k
  18k 2893k
  16k 3434k
  19k 3654k
  21k 3721k
  21k 3785k
  18k 3799k
  18k 3769k
  17k 3061k
  14k 2248k
  14k 2774k
  16k 3334k
  19k 3722k
  19k 3788k
  18k 3767k
  19k 3795k
  17k 3773k
  17k 3716k
  19k 4106k
  22k 4370k
  21k 4563k
  23k 5082k
  25k 4243k
  22k 3546k
  23k 3946k
  21k 3271k
  18k 3330k
  17k 2601k
  13k 2863k
  14k 3094k
  18k 3206k
  19k 2448k
  13k 2426k
  15k 2834k
  15k 2896k
  16k 2938k
  16k 2931k
  16k 2877k
  17k 2969k
  18k 3036k
  18k 3350k
  19k 3819k
  23k 4391k
  25k 5199k
  29k 5352k
  27k 4289k
  24k 5239k
  28k 6050k
  31k 6460k
  30k 6522k
  29k 6523k
  30k 6523k
  29k 6460k
  28k 6457k
  29k 6460k
  31k 7036k
  35k 7437k
  35k 7722k
  38k 8516k
  41k 9504k
  44k   10M
  55k   11M
  49k 8392k
  38k 9186k
  42k 7305k
  30k 5838k
  37k 7765k
  39k 8210k
  38k 8547k
  41k 7739k
  33k 5629k
  27k 6190k
  31k 6712k
  33k 7133k
  32k 5453k
  25k 4363k
  24k 5410k
  26k 5773k
  26k 5938k
  26k 5931k
  25k 5773k
  26k 5806k
  25k 4738k
  25k 3206k
  19k 4163k
  22k 5082k
  26k 5671k
  26k 5832k
  26k 5910k
  26k 5913k
  27k 5952k
  30k 5777k
  27k 4367k
  21k 3917k
  23k 5207k
  27k 5871k
  25k 5870k
  25k 5870k
  25k 5805k
  25k 5738k
  30k 6101k
  32k 4680k
  21k 3937k
  24k 4889k
  25k 5512k
  29k 5898k
  27k 5869k
  24k 4525k
  21k 3540k
  20k 3604k
  16k 1907k
  10k 1528k
9024B 1719k
9555B 1736k
9988B 1763k
9430B 1763k
9591B 1691k
9064B 1289k
7704B 1515k
8632B 1849k
  10k 2152k
  12k 2168k
  13k 2147k
  12k 2170k
  12k 2220k
  12k 2259k
  12k 2623k
  15k 2330k
  13k 1857k
  12k 2461k
  14k 2816k
  15k 3001k
  15k 3002k
  15k 3002k
  14k 3083k
  14k 3067k
  15k 3179k
  17k 3390k
  20k 3716k
  19k 3093k
  14k 2277k
  13k 2953k
  16k 3521k
  17k 3625k
  17k 3771k
  15k 2660k
  12k 2163k
