   0     0|  1   1  96   2   0   0
4933B 7272B| 19  18  62   0   0   0
  24000   19000|  5   6  89   0   0   0
  15000   19000|  7   6  88   0   0   0
  10000   16000|  6   5  88   0   0   0
5774B   10000|  7   5  88   0   0   0
4658B  115000|  5   6  88   1   0   0
8008B  664000|  7   5  88   0   0   0
  23000 2250000|  5   6  88   0   0   1
  64000 9145000|  6   5  89   0   0   0
  69000   12000000|  6   6  88   0   0   0
  77000   18000000| 11  11  78   0   0   1
 111000   18000000| 12   7  80   1   0   1
 207000   28000000| 11   7  81   0   0   1
 593000   58000000| 10  12  75   0   0   3
 851000  103000000| 13  14  71   0   0   2
 466000   92000000| 13  11  74   0   0   2
 444000  104000000| 14  10  75   0   0   1
 462000  101000000| 13  13  72   1   0   2
 412000   92000000| 11  11  76   0   0   2
 413000   95000000| 11  11  76   0   0   1
 430000   99000000| 11  12  75   0   0   2
 410000   85000000| 11  13  74   0   0   2
 356000   84000000| 13  11  74   0   0   2
 382000   94000000| 13  11  73   1   0   2
 418000   98000000| 11  12  74   0   0   2
 439000  104000000| 13  12  73   0   0   2
 471000  102000000| 12  11  75   0   0   2
 405000   92000000| 12  11  75   0   0   2
 430000   98000000| 13  11  75   0   0   1
 441000   90000000| 12  11  75   0   0   2
 257000   57000000| 13   9  76   0   0   1
 273000   63000000| 11  11  76   0   0   1
 296000   67000000| 11  10  78   0   0   1
 318000   74000000| 12  15  67   4   0   2
 360000   82000000| 12  11  75   0   0   2
 396000   90000000| 10  26  60   1   0   3
 446000   99000000| 13  24  60   0   0   3
 442000  102000000| 11  23  63   0   0   4
 389000   75000000| 11  26  60   0   0   2
 336000   79000000| 11  33  52   0   0   4
 376000   86000000| 12  13  73   0   0   2
 403000   91000000| 14  10  74   1   0   2
 424000   95000000| 12  12  73   0   0   2
 390000   85000000| 11  49  36   0   0   4
 418000   90000000| 11  20  66   0   0   2
 437000   97000000|  9  36  51   0   0   4
 499000   95000000| 14  18  64   0   0   4
 427000   85000000| 11  10  76   1   0   2
 453000   91000000| 10  40  46   0   0   4
 510000   90000000| 11  22  65   0   0   2
 386000   73000000| 11  28  58   0   0   3
 407000   81000000| 12  23  64   0   0   1
 441000   85000000| 12  23  62   0   0   3
 476000   88000000| 12  12  74   1   0   2
 475000   91000000| 12  36  49   0   0   3
 504000   88000000| 13  18  66   0   0   3
 477000   89000000| 13  35  49   0   0   3
 499000   91000000| 10  18  70   0   0   2
 497000   93000000| 12  10  76   0   0   2
 522000   96000000| 13  10  74   1   0   2
 513000   99000000| 11  50  35   0   0   5
 477000   74000000| 11  14  73   0   0   2
 406000   79000000| 12  13  74   0   0   2
 464000   84000000| 12  16  69   0   0   3
 470000   87000000| 15  19  63   0   0   3
 513000   93000000| 38  24  35   1   0   2
 502000   96000000| 37  17  44   0   0   2
 553000   98000000| 12  13  72   1   0   3
 485000   89000000| 10  11  71   6   0   2
 506000   93000000| 11  12  75   0   0   2
 332000   61000000| 10   9  79   0   0   2
 286000   67000000| 10  10  77   1   0   1
 311000   73000000| 10  27  61   0   0   2
 327000   77000000| 12  28  58   0   0   2
 335000   75000000| 11  47  39   0   0   3
 363000   81000000| 29  19  50   0   0   2
 391000   93000000| 38  14  45   0   0   3
 429000  100000000| 39  13  44   1   0   3
 386000   82000000| 45  17  35   0   0   3
 383000   90000000| 42  15  39   0   0   4
 495000   81000000| 39  11  47   0   0   3
 283000   65000000| 37  13  47   0   0   3
 312000   74000000| 36  13  48   1   0   2
   0     0| 13  10  75   0   0   1
   0     0| 12   8  79   0   0   1
   0     0| 10  10  78   0   0   2
   0     0| 10   8  80   0   0   2
   0     0| 12   9  77   0   0   2
   0     0| 11  10  77   1   0   1
   0     0| 11  10  77   0   0   2
   0     0| 11  10  78   0   0   2
   0     0| 12  10  77   0   0   1
   0     0| 12  10  76   0   0   2
   0     0| 26  14  57   0   0   2
   0     0| 40  12  44   1   0   3
   0     0| 37  35  24   0   0   4
   0     0| 37  13  48   0   0   2
   0     0| 38  21  38   0   0   3
   0     0| 37  25  35   0   0   4
   0     0| 39  25  34   0   0   3
6408000 1462000000| 54  17  25   1   0   3
 383000   89000000| 61  20  14   0   0   5
 378000   95000000| 70  17   9   0   0   4
 415000  104000000| 79  15   2   0   0   4
 424000  102000000| 64  20  13   0   0   4
 393000   91000000| 63  17  16   0   0   4
 332000   66000000| 18  10  70   0   0   2
 254000   52000000|  8   8  83   0   0   1
 283000   57000000|  7   7  85   0   0   1
 307000   63000000| 14   8  77   0   0   1
 325000   69000000| 35  12  50   0   0   3
 392000   79000000| 36  11  49   1   0   3
 449000   68000000| 37  10  51   0   0   2
 366000   62000000| 34  11  52   0   0   3
 406000   75000000| 10   9  80   0   0   1
 417000   80000000| 10   9  79   0   0   2
 488000   93000000| 35  14  48   1   0   3
 532000  103000000| 36  13  48   0   0   3
 373000   67000000| 36  13  49   0   0   2
 403000   86000000| 35  12  50   0   0   3
 443000   77000000| 37  11  50   0   0   3
 252000   45000000| 33   9  57   0   0   1
 296000   56000000|  9   7  81   1   0   2
 343000   64000000|  9   9  81   0   0   1
 337000   70000000|  9   8  82   0   0   1
 384000   77000000| 10   9  81   0   0   1
 396000   81000000|  9  10  80   0   0   1
 415000   77000000| 10   9  77   1   0   3
 351000   69000000|  8   9  81   0   0   2
 374000   72000000| 10   8  81   0   0   1
 410000   80000000|  9   9  81   0   0   1
 476000   89000000| 10  10  78   0   0   2
 491000   99000000|  9   9  80   0   0   2
 509000   99000000|  9  10  78   1   0   2
 554000   99000000| 11  10  78   0   0   2
 454000   85000000| 16  10  73   0   0   2
 453000   94000000| 36  14  47   0   0   3
 517000   95000000| 34  15  47   0   0   5
 451000   91000000| 36  12  50   0   0   3
 503000   96000000| 35  13  47   1   0   4
 514000  100000000| 36  15  47   0   0   3
 534000  103000000| 35  14  48   0   0   3
 532000   99000000| 25  11  63   0   0   2
 528000  102000000|  9  11  78   0   0   2
 531000  102000000| 10  11  78   0   0   1
 521000  101000000| 10  11  77   1   0   2
 522000  103000000| 10   9  79   0   0   2
 540000  105000000| 10  10  79   0   0   1
 517000   94000000| 31  12  54   0   0   3
 502000   95000000| 36  34  26   0   0   3
 585000   82000000| 25  66   2   0   0   7
 281000   50000000| 20  72   4   0   0   4
 350000   64000000| 35  21  40   0   0   4
 337000   73000000| 36  15  47   0   0   2
 394000   80000000| 35  16  45   0   0   3
 391000   84000000| 35  16  46   0   0   3
 434000   87000000| 34  17  46   0   0   3
 422000   89000000| 35  18  44   0   0   4
 447000   92000000| 35  14  48   0   0   3
 438000   95000000| 41  16  39   0   0   4
 471000   97000000| 36  13  48   0   0   3
 450000   97000000| 35  11  50   0   0   4
 469000   98000000| 28  12  57   0   0   3
 456000   99000000|  8   9  79   2   0   2
 464000   94000000|  8   9  81   0   0   2
 461000   97000000| 10   9  80   0   0   1
 494000   95000000| 28  13  57   0   0   2
 428000   85000000| 34  13  50   0   0   3
 469000   89000000| 33  13  49   1   0   4
 537000   99000000| 36  12  49   0   0   3
 676000   92000000| 36  13  47   0   0   3
 440000   58000000| 35  11  53   0   0   1
 387000   72000000| 42  13  43   0   0   2
 472000   79000000| 62  16  20   0   0   2
 466000   85000000| 44  12  42   0   0   2
 507000   90000000| 38  12  47   0   0   3
 456000   85000000| 59  20  16   0   0   5
 490000   85000000| 60  20  17   0   0   3
 458000   87000000| 62  17  18   0   0   3
 502000   89000000| 57  19  19   0   0   5
 490000   93000000| 47  13  38   0   0   2
 530000   93000000| 45  13  38   0   0   4
 430000   81000000| 34  10  52   0   0   3
 477000   78000000| 35  13  50   0   0   2
 503000   88000000| 34  12  52   0   0   2
 619000   99000000| 14  10  73   1   0   3
 420000   66000000| 19   8  71   0   0   2
 354000   62000000| 33  12  52   0   0   3
 315000   60000000| 33   9  56   0   0   2
 400000   71000000| 33  10  54   0   0   3
 474000   82000000| 16   8  74   0   0   2
 524000   82000000|  8   8  82   1   0   1
 458000   86000000| 10   9  80   0   0   1
 511000   92000000| 33  11  53   0   0   3
 517000   98000000| 34  11  52   0   0   3
 603000   91000000| 33  14  50   0   0   3
 372000   76000000| 34  11  53   1   0   2
 469000   88000000|  9   9  81   0   0   2
 506000   93000000|  8  11  79   0   0   3
 577000  100000000| 17   9  72   0   0   2
 497000   90000000| 33  11  53   0   0   3
 526000   92000000| 33  13  52   0   0   3
 503000   95000000| 35  11  50   1   0   3
 563000   99000000| 34  11  52   0   0   3
 527000   98000000| 33  13  52   0   0   2
 512000   90000000| 40  12  45   0   0   3
 367000   91000000| 35  11  51   0   0   4
 446000   99000000| 33  13  52   0   0   3
 490000   98000000| 35  13  48   1   0   4
 559000   99000000| 34  11  52   0   0   2
 389000   59000000| 32  11  53   0   0   3
 407000   64000000| 33   9  57   0   0   2
 372000   66000000| 20   9  70   0   0   2
 421000   69000000|  8   8  81   2   0   2
 403000   70000000|  7   7  85   0   0   2
 433000   72000000|  6   9  84   0   0   1
 472000   80000000|  6   8  84   0   0   1
 518000   89000000|  7   9  83   0   0   2
 557000   95000000| 24  11  62   0   0   3
 459000   90000000| 34  13  50   1   0   2
 469000   91000000| 34  12  51   0   0   3
 540000   93000000| 33  13  51   0   0   4
 516000   97000000| 33  12  52   0   0   4
 563000   98000000| 35  12  52   0   0   2
 542000   93000000| 36  12  49   0   0   3
 474000   84000000| 33  11  53   1   0   2
 474000   86000000| 35   9  53   0   0   3
 494000   88000000| 34  11  53   0   0   2
 500000   91000000| 35  10  52   0   0   2
 521000   94000000| 33  11  52   0   0   3
 531000   96000000| 32  12  52   1   0   3
 511000   92000000| 33   8  57   0   0   1
 476000   87000000| 32   7  60   0   0   1
 511000   94000000| 41  10  47   0   0   2
 554000   98000000| 57  10  30   0   0   3
 568000   68000000| 59  11  27   0   0   3
 370000   63000000| 58  11  28   0   0   3
 402000   73000000| 35   6  57   0   0   2
 500000   82000000| 22   5  72   0   0   1
 499000   89000000|  6   5  89   0   0   1
 561000   95000000|  5   5  90   0   0   1
 521000   95000000|  5   5  90   0   0   0
 546000   95000000|  5   5  89   1   0   0
 528000   96000000| 23   7  69   0   0   1
 542000   97000000| 32   8  59   0   0   1
