   0     0|  1   1  95   4   0   0
2055B 1695B|  2   2  96   0   0   0
1792B  846B|  3   3  94   0   0   0
1516B 1626B|  3   2  96   0   0   0
3526B 2264B|  3   2  95   0   0   0
7294B   80000|  4   2  94   0   0   0
2496B  294000|  3   3  93   2   0   0
2990B  457000|  3   3  94   0   0   0
6862B 1141000|  4   1  95   0   0   0
  13000 1957000|  3   3  94   0   0   0
  22000 4369000|  3   2  95   0   0   0
  26000 6271000|  3   2  95   0   0   0
  63000 9714000|  4   2  93   1   0   0
  38000 7821000|  4   3  94   0   0   0
  47000 9857000|  5   2  93   0   0   0
  43000 9118000|  5   2  93   0   0   0
  52000   11000000|  4   3  94   0   0   0
  60000 8490000|  4   2  94   0   0   0
  41000 8100000|  3   3  93   1   0   0
  50000 6580000|  5   2  93   0   0   0
  30000 6071000|  4   3  94   0   0   0
  34000 6604000|  4   2  94   0   0   0
  34000 6471000|  4   2  94   0   0   0
  35000 6871000|  5   2  93   0   0   0
  32000 6671000|  4   2  93   1   0   0
  43000 5475000|  4   2  94   0   0   0
  28000 4936000|  4   2  94   0   0   0
  31000 5870000|  4   3  94   0   0   0
  29000 5337000|  4   2  95   0   0   0
  32000 6088000|  4   2  94   0   0   0
  32000 5719000|  4   2  93   1   0   0
  33000 6071000|  3   2  94   0   0   0
  34000 5804000|  4   2  94   0   0   0
  35000 6004000|  5   2  94   0   0   0
  35000 5731000|  4   2  94   0   0   0
  38000 4458000|  4   3  93   0   0   0
  28000 4925000|  5   1  94   1   0   0
  31000 5203000|  4   2  95   0   0   0
  34000 5590000|  4   2  94   0   0   0
  31000 5617000|  4   2  94   0   0   0
  37000 6071000|  4   2  93   0   0   0
  34000 5737000|  4   2  94   0   0   0
  36000 6103000|  4   2  93   1   0   0
  35000 5771000|  3   3  94   0   0   0
  36000 6071000|  5   2  93   0   0   0
  40000 5144000|  5   3  93   0   0   0
  33000 4504000|  4   2  94   0   0   0
  28000 3439000|  4   3  93   0   0   0
  22000 3736000|  5   3  92   1   0   0
  27000 3352000|  4   2  95   0   0   0
  20000 2922000|  3   2  95   0   0   0
  19000 2935000|  4   3  93   0   0   0
  19000 3335000|  3   2  95   0   0   0
  21000 3335000|  5   2  94   0   0   0
  21000 3288000|  4   2  93   1   0   0
  21000 3383000|  4   3  93   0   0   0
  24000 3335000|  4   2  94   0   0   0
  21000 3335000|  4   3  94   0   0   0
  21000 3335000|  4   2  93   0   0   0
  20000 3469000|  5   2  94   0   0   0
  22000 3669000|  4   2  93   1   0   0
  24000 4069000|  4   3  94   0   0   0
  24000 4470000|  4   1  95   0   0   0
  27000 5137000|  4   2  94   0   0   0
  30000 5737000|  4   3  93   0   0   0
  36000 6804000|  4   2  93   0   0   0
  40000 7872000|  4   3  93   1   0   0
  46000 9273000|  4   2  94   0   0   0
  63000 8681000|  4   3  93   0   0   0
  41000 8005000|  4   2  94   0   0   0
  46000 8872000|  4   2  94   0   0   0
  48000 9099000|  4   2  94   0   0   0
  50000 6913000|  4   2  93   1   0   0
  40000 7271000|  4   3  93   0   0   0
  42000 7605000|  4   2  94   0   0   0
  43000 7805000|  4   2  94   0   0   0
  42000 7872000|  3   2  95   0   0   0
  44000 8138000|  4   1  95   0   0   0
  46000 7676000|  4   2  93   1   0   0
  51000 6068000|  4   2  94   0   0   0
  45000 5808000|  3   3  94   0   0   0
  32000 4870000|  4   3  93   0   0   0
  31000 5203000|  4   2  94   0   0   0
  31000 5337000|  3   3  93   0   0   0
  33000 5604000|  4   3  93   1   0   0
  31000 5537000|  3   2  94   0   0   0
  39000 4781000|  5   2  93   0   0   0
  26000 4330000|  5   1  94   0   0   0
  28000 4936000|  3   3  94   0   0   0
  27000 5003000|  4   3  94   0   0   0
  36000 4216000|  4   2  93   1   0   0
  25000 3936000|  4   2  94   0   0   0
  28000 3029000|  4   2  94   0   0   0
  21000 3202000|  5   1  94   0   0   0
  19000 3402000|  2   2  96   0   0   0
  20000 3335000|  4   2  94   0   0   0
  20000 3335000|  4   2  93   1   0   0
  20000 3451000|  3   2  94   0   0   0
  20000 3287000|  3   3  94   0   0   0
  19000 3448000|  4   2  94   0   0   0
  18000 3423000|  4   3  93   0   0   0
  22000 3802000|  3   2  95   0   0   0
  22000 3536000|  3   3  93   1   0   0
  24000 4269000|  4   2  94   0   0   0
  25000 4323000| 23   3  74   0   0   0
  29000 5017000| 30   3  67   0   0   0
  29000 5604000| 31   2  67   0   0   0
  34000 6271000| 31   2  67   0   0   0
  46000 6561000| 32   2  64   1   0   0
  33000 5537000| 30   3  67   0   0   0
  34000 6337000| 31   2  67   0   0   0
  34000 6405000| 15   3  82   0   0   0
  28000 3960000|  4   4  93   0   0   0
